combo_features,actual,predicted,difference,accuracy_scale,accuracy_emp,std,bestpredictedvalue,bestpredictedrealvalue,bestpredictedtext,worstpredictedvalue,worstpredictedrealvalue,worstpredictedtext
['avg_word_length'],"[ 1.  1.  0. ...,  1.  1.  1.]","[ 0.64576684  0.64290709  0.63814086 ...,  0.66101879  0.65386943
  0.63528112]","[ 0.35423316  0.35709291  0.63814086 ...,  0.33898121  0.34613057
  0.36471888]",54.526617857762396,54.526617857762396,0.13630648495232547,[ 0.68913957],[ 1.],"622    In late August I got an extra day ��� just an ...
Name: text, dtype: object",[ 0.67436424],[ 0.],"23    Are you ever still famished when you get home ...
Name: text, dtype: object"
['dyn_senti_score'],"[ 1.  1.  0. ...,  1.  1.  1.]","[ 0.64989569  0.61089732  0.63202883 ...,  0.62489907  0.65561943
  0.65538304]","[ 0.35010431  0.38910268  0.63202883 ...,  0.37510093  0.34438057
  0.34461696]",54.34435024611043,54.34435024611043,0.13572179229580575,[ 0.67515233],[ 1.],"383    Play SET! The popular card game of visual perc...
Name: text, dtype: object",[ 0.67858807],[ 0.],"704    The world comes to a moral crossroads.        
Name: text, dtype: object"
['FK_GradeLevel'],"[ 1.  1.  0. ...,  1.  1.  1.]","[ 0.64487282  0.63626885  0.64831441 ...,  0.63454805  0.63971044
  0.64143123]","[ 0.35512718  0.36373115  0.64831441 ...,  0.36545195  0.36028956
  0.35856877]",54.27710656820049,54.27710656820049,0.13784598660720632,[ 0.66887571  0.66887571],[ 1.  1.],"162    ABC the network that has struggled most in the...
674    BEIJING ���� China appears ready to force near...
Name: text, dtype: object",[ 0.66887571],[ 0.],"149    In ����Lost and Found��� the most haunting sto...
Name: text, dtype: object"
['google_rank'],"[ 1.  1.  0. ...,  1.  1.  1.]","[ 0.70935295  0.62766218  0.73484339 ...,  0.61823855  0.62248075
  0.6287092 ]","[ 0.29064705  0.37233782  0.73484339 ...,  0.38176145  0.37751925
  0.3712908 ]",55.07099006958689,55.07099006958689,0.1452322205525851,[ 0.79586256],[ 1.],"693    Grading college students on quizzes given at t...
Name: text, dtype: object",[ 0.92677885],[ 0.],"704    The world comes to a moral crossroads.        
Name: text, dtype: object"
['lexical_density'],"[ 1.  1.  0. ...,  1.  1.  1.]","[ 0.64391637  0.64311077  0.64368256 ...,  0.64469459  0.64346438
  0.64310049]","[ 0.35608363  0.35688923  0.64368256 ...,  0.35530541  0.35653562
  0.35689951]",54.30355962241281,54.30355962241281,0.13720920255032334,[ 0.64846997],[ 1.],"351    Today we remember Rosa Parks�۪ bold stand and ...
Name: text, dtype: object",[ 0.65065596],[ 0.],"704    The world comes to a moral crossroads.        
Name: text, dtype: object"
['lyrics_rank'],"[ 1.  1.  0. ...,  1.  1.  1.]","[ 0.69307802  0.63714142  0.69363218 ...,  0.80228414  0.66170266
  0.59694365]","[ 0.30692198  0.36285858  0.69363218 ...,  0.19771586  0.33829734
  0.40305635]",56.608158815510244,56.608158815510244,0.1559096310649212,[ 0.92539206],[ 1.],"626    I�۪m pretty annoyed with Larry Summers right n...
Name: text, dtype: object",[ 0.90634283],[ 0.],"283     To the Editor:   Re ���� In Taking Jobs Women...
Name: text, dtype: object"
['num_sentence'],"[ 1.  1.  0. ...,  1.  1.  1.]","[ 0.72288968  0.65124014  0.53978531 ...,  0.73881179  0.73881179
  0.68308438]","[ 0.27711032  0.34875986  0.53978531 ...,  0.26118821  0.26118821
  0.31691562]",58.0954424418048,58.0954424418048,0.15864429277154074,[ 1.00152675  1.00152675  1.00152675],[ 1.  1.  1.],"322    On a morose Sunday afternoon my husband and I ...
455    Before he served as a United States senator be...
528    Updated 8:46 p.m. |  When Brian Sozzi the chie...
Name: text, dtype: object",[ 2.37082894],[ 1.],"601    First there was the struggle to make women���s...
Name: text, dtype: object"
['nyt_rank'],"[ 1.  1.  0. ...,  1.  1.  1.]","[ 0.63540419  0.64556616  0.60063858 ...,  0.65565913  0.6266214
  0.66846595]","[ 0.36459581  0.35443384  0.60063858 ...,  0.34434087  0.3733786
  0.33153405]",54.463335209553414,54.463335209553414,0.1402027242826916,[ 0.74204672],[ 1.],"333    Stretching between Florence and Siena in the h...
Name: text, dtype: object",[ 0.73794077],[ 0.],"574    This spaghetti sauce is a creamy pungent walnu...
Name: text, dtype: object"
['post_length'],"[ 1.  1.  0. ...,  1.  1.  1.]","[ 0.79594354  0.61023338  0.51860331 ...,  0.69157345  0.75380351
  0.69108345]","[ 0.20405646  0.38976662  0.51860331 ...,  0.30842655  0.24619649
  0.30891655]",59.49850258119439,59.49850258119439,0.17621458040168278,[ 0.99292371],[ 1.],"913    Updated 8:48 p.m. |  The tasting menu at Per S...
Name: text, dtype: object",[ 3.04308546],[ 1.],"601    First there was the struggle to make women���s...
Name: text, dtype: object"
['twitter_rank'],"[ 1.  1.  0. ...,  1.  1.  1.]","[ 0.72810406  0.59580838  0.66189761 ...,  0.75328958  0.74014278
  0.79310818]","[ 0.27189594  0.40419162  0.66189761 ...,  0.24671042  0.25985722
  0.20689182]",57.79031207792051,57.79031207792051,0.15925352838670934,[ 1.00818093],[ 1.],"383    Play SET! The popular card game of visual perc...
Name: text, dtype: object",[ 0.92997052],[ 0.],"29    LOS ANGELES ���� Jason Day has been torn betwe...
Name: text, dtype: object"
['words_per_sentence'],"[ 1.  1.  0. ...,  1.  1.  1.]","[ 0.64487836  0.63572562  0.64853945 ...,  0.63389507  0.63938672
  0.64121726]","[ 0.35512164  0.36427438  0.64853945 ...,  0.36610493  0.36061328
  0.35878274]",54.262953049417014,54.262953049417014,0.13824824426207594,[ 0.68881149],[ 1.],"428    WASHINGTON ���� In an era when the Obama admin...
Name: text, dtype: object",[ 0.73091408],[ 0.],"833    (Reuters) - Champions Guangzhou Evergrande of ...
Name: text, dtype: object"
"['avg_word_length', 'dyn_senti_score']","[ 1.  1.  0. ...,  1.  1.  1.]","[ 0.6499446   0.61891336  0.63004364 ...,  0.64543101  0.66141357
  0.64451168]","[ 0.3500554   0.38108664  0.63004364 ...,  0.35456899  0.33858643
  0.35548832]",54.53426609293152,54.53426609293152,0.1352100178742988,[ 0.69653434],[ 1.],"651    When my 12-year-old son Jackson asked me if th...
Name: text, dtype: object",[ 0.68718216],[ 0.],"704    The world comes to a moral crossroads.        
Name: text, dtype: object"
"['avg_word_length', 'FK_GradeLevel']","[ 1.  1.  0. ...,  1.  1.  1.]","[ 0.64801342  0.62860885  0.64466761 ...,  0.64839203  0.6488064
  0.62841954]","[ 0.35198658  0.37139115  0.64466761 ...,  0.35160797  0.3511936
  0.37158046]",54.53818763131944,54.53818763131944,0.1371111117760306,[ 0.70251812],[ 1.],"212    ����New York was no mere city���  Joan Didion ...
Name: text, dtype: object",[ 0.71015285],[ 0.],"149    In ����Lost and Found��� the most haunting sto...
Name: text, dtype: object"
"['avg_word_length', 'google_rank']","[ 1.  1.  0. ...,  1.  1.  1.]","[ 0.70932887  0.6273237   0.72958524 ...,  0.62940762  0.62909793
  0.6235782 ]","[ 0.29067113  0.3726763   0.72958524 ...,  0.37059238  0.37090207
  0.3764218 ]",55.19693709936201,55.19693709936201,0.14468859868819578,[ 0.80581581],[ 1.],"561    When I was 20 one of my close friends was kill...
Name: text, dtype: object",[ 0.9341644],[ 0.],"704    The world comes to a moral crossroads.        
Name: text, dtype: object"
