,article_id,popular,content_type,genre,title,section,word_count,avg_word_len,avg_happy,text
21,1E+14,0,Article,News,Bring in People Who Are Better Than You,Business Day,1250,5.303,5.532,           We have a very good manager here who used to work for a large bank and he said it would take six months to make a decision. Ultimately he felt he spent more time fighting the organization than doing something interesting and creative.                 
16,1E+14,1,Article,News,The 10 Best Books of 2013,Books,729,5.948,5.455,   By turns tender and trenchant AdichieåÛåªs third novel takes on the comedy and tragedy of American race relations from the perspective of a young Nigerian immigrant. From the office politics of a hair-braiding salon to the burden of memory thereåÛåªs nothing too humble or daunting for this fearless writer who is so attuned to the various worlds and shifting selves we inhabit åÛåÓ in life and online in love as agents and victims of history and the heroes of our own stories.          Radical politics avant-garde art and motorcycle racing all spring to life in KushneråÛåªs radiant novel of the 1970s in which a young woman moves to New York to become an artist only to wind up involved in the revolutionary protest movement that shook Italy in those years. The novel KushneråÛåªs second deploys mordant observations and chiseled sentences to explore how individuals are swept along by implacable social forces.          TarttåÛåªs intoxicating third novel after åÛåÏThe Secret HistoryåÛå and åÛåÏThe Little FriendåÛå follows the travails of Theo Decker who emerges from a terrorist bombing motherless but in possession of a prized Dutch painting. Like the best of Dickens the novel is packed with incident and populated with vivid characters. At its heart is the unwavering belief that come what may art can save us by lifting us above ourselves.          Demonstrating the agile style and theatrical bravado of her much-admired Jackson Brodie mystery novels Atkinson takes on nothing less than the evils of mid-20th-century history and the nature of death as she moves back and forth in time fitting together versions of a life story for a heroine who keeps dying then being resurrected åÛåÓ and sent off in different but entirely plausible directions.          SaundersåÛåªs wickedly entertaining stories veer from the deadpan to the flat-out demented: Prisoners are force-fed mood-altering drugs; ordinary saps cling to delusions of grandeur; third-world women held aloft on surgical wire become the latest in bourgeois lawn ornaments. Beneath the comedy though Saunders writes with profound empathy and this impressive collection advances his abiding interest in questions of class power and justice.           BlinderåÛåªs terrific book on the financial meltdown of 2008 argues that it happened because of a åÛåÏperfect stormåÛå in which many unfortunate events occurred simultaneously producing a far worse outcome than would have resulted from just a single cause. Blinder criticizes both the Bush and Obama administrations especially for letting Lehman Brothers fail but he also praises them for taking steps to save the country from falling into a serious depression. Their response to the near disaster Blinder says was far better than the public realizes.          Baker succeeds in telling the story of the several crises of the Bush administration with fairness and balance which is to say that he is sympathetic to his subjects acknowledging their accomplishments but excusing none of their errors. Baker the chief White House correspondent for The Times is fascinated by the mystery of the Bush-Ìâå_Cheney relationship and even more so by the mystery of George W. Bush himself. Did Bush lead or was he led by others? In the end Baker concludes the åÛåÏdecideråÛå really did decide.          In harrowing detail Fink describes the hellish days at a hospital during and after Hurricane Katrina when desperate medical professionals were suspected of administering lethal injections to critically ill patients. Masterfully and compassionately reported and as gripping as a thriller the book poses reverberating questions about end-of-life care race discrimination in medicine and how individuals and institutions break down during disasters.          Clark manages in a single volume to provide a comprehensive highly readable survey of the events leading up to World War I. He avoids singling out any one nation or leader as the guilty party. åÛåÏThe outbreak of waråÛå he writes åÛåÏis not an Agatha Christie drama at the end of which we will discover the culprit standing over a corpse.åÛå The participants were in his term åÛåÏsleepwalkersåÛå not fanatics or murderers and the war itself was a tragedy not a crime.          On the day after Christmas in 2004 Deraniyagala called her husband to the window of their hotel room in Sri Lanka. åÛåÏI want to show you something oddåÛå she said. The ocean looked foamy and closer than usual. Within moments it was upon them. Deraniyagala lost her husband her parents and two young sons to the Indian Ocean tsunami. Her survival was miraculous and so too is this memoir åÛåÓ unsentimental raggedly intimate full of fury.        
67,1E+14,0,Article,News,News From the Advertising Industry,Business Day,825,5.792,5.682, åĞåÊ Volvo Car Group owned by the Zhejiang Geely Holding Group chose new agencies for worldwide creative and digital assignments with spending estimated at $300 million. Grey London åÛåÓ part of the Grey division of the Grey Group owned by WPP åÛåÓ will be the global creative agency outside Sweden assuming duties from various agencies. Grey will open a stand-alone unit for Volvo at Grey New York to create ads for the American market which were handled by Arnold Worldwide part of the Havas Creative division of Havas. In Sweden ads will continue to be created by Forsman & Bodenfors. Also R/GA New York part of the Interpublic Group of Companies becomes the new worldwide digital strategy agency for Volvo also assuming those duties from various agencies.         åĞåÊ Legacy Washington the nonprofit organization whose programs aimed at discouraging young Americans from smoking included the Truth campaign selected MediaCom New York part of the GroupM division of WPP to handled its media planning and buying account. The assignment with spending estimated at $50 million to $60 million was handled by PHD New York part of the Omnicom Media Group division of the Omnicom Group.         åĞåÊ RÌÄå©my Cointreau USA New York part of RÌÄå©my Cointreau named Brooklyn Brothers New York as the first national creative agency for RÌÄå©my Martin V a grape spirit that was introduced in the United States in 2010. Billings were not disclosed.         åĞåÊ Beyond Meat El Segundo Calif. which uses plant proteins to make meat substitutes like Chicken-Free Strips hired Creature Seattle to help introduce the Beyond Meat brand. Billings were not disclosed.          åĞåÊ Sebastien DesclÌÄå©e joined Draftfcb New York as president for Draftfcb International a new post. He most recently was chief executive at Duval Guillaume Modem and Publicis Belgium part of the Publicis Groupe.         åĞåÊ Chick Foxgrover senior vice president and chief technology officer at the American Association of Advertising Agencies New York was named chief digital officer a new post with an expanded role.         åĞåÊ Bass Phillips a creative director at nFusion Austin Tex. was promoted to a new post serving as the agencyåÛåªs executive creative director.         åĞåÊ Bob LaPointe president of Inc. magazine New York part of Mansueto Ventures stepped down the company said and will take on a new role executive vice president for new business development based in the Inc. Boston office. Eric Schurenberg editor in chief of Inc. will succeed Mr. LaPointe as president assuming responsibility for the magazineåÛåªs business operation while remaining editor in chief.          åĞåÊ Three major media agencies known for predicting trends in advertising spending have revised their forecasts for 2014; two were revised upward and one was revised downward. GroupM part of WPP revised its prediction downward and is now forecasting a gain of 4.6 percent in worldwide ad spending next year compared with 2013; the previous GroupM forecast called for a gain of 5.1 percent. Still the GroupM prediction projects growth next year at a stronger rate than this year when GroupM says ad spending will increase 3.3 percent compared with 2012. Magna Global part of the IPG Mediabrands division of the Interpublic Group of Companies revised its prediction upward. It is now forecasting a gain of 6.5 percent in worldwide ad spending next year compared with 2013; the previous Magna Global forecast called for an increase of 6.1 percent. The Magna Global prediction for growth next year is also at a faster pace than its prediction for this year which calls for an increase of 3.2 percent compared with 2012. Finally ZenithOptimedia part of the Publicis Groupe revised its prediction upward and is now forecasting a gain of 5.3 percent in worldwide ad spending next year compared with this year; the previous ZenithOptimedia forecast called for an increase of 5.1 percent. The ZenithOptimedia prediction for growth next year is also more robust than its forecast for this year which calls for a gain of 3.6 percent compared with 2012. ZenithOptimedia is in addition making forecasts for 2015 an increase of 5.8 percent from 2014 and 2016 up 5.8 percent from 2015. The three agencies are to discuss details of their forecasts on Monday morning during the opening day of the 41st annual UBS Global Media and Communications Conference in New York.         åĞåÊ Billups Worldwide Portland Ore. and Strategic Outdoor Shop New York and San Francisco which both specialize in out-of-home advertising have merged the companies said. Financial terms were not disclosed. The merged company will operate in the three cities under the Billups name.         åĞåÊ Advertising revenue for out-of-home media rose 3.5 percent in the third quarter compared with the same period a year ago according to the Outdoor Advertising Association of America Washington. For the first three quarters ad revenue increased 4.4 percent compared with the same period of 2012.         åĞåÊ Synergize a digital search marketing agency in Cape Town and Johannesburg South Africa was acquired by the Publicis Groupe Paris. Financial terms were not disclosed.        
117,1E+14,0,Article,News,N.B.A. Game of the Week: Eastern Showdown,Sports,510,5.502,5.355, ÌâåÊ          Most of the chatter around the N.B.A. in the last week has concerned  Two of those teams are the  Miami is two games behind Indiana in the standings but few fans consider it the inferior squad. In Game 7 of last yearåÛåªs Eastern Conference finals the Heat trounced the Pacers 99-76 the largest margin of the series.         Indiana has improved since that game. Paul George has  The depth issue seems to have been resolved.ÌâåÊThough Danny Granger is still trying to return from a leg injury that has sidelined him this season three Pacers backups represent a significant improvement from last year.ÌâåÊLuis Scola acquired from the Suns has given the bench an infusion of toughness and scoring and the backup point guards C. J. Watson and Donald Sloan have played well.         Perhaps the PacersåÛåª most important off-season move was re-signing the veteran forward David West.ÌâåÊWest and Roy Hibbert caused all kinds of trouble for Miami last season forming a potent high-low combination and preventing the Heat from getting into the lane easily.         But the Pacers are having trouble shaking their ball-control problem something that should have been high among their priorities after they averaged 17.5 turnovers in their losses to the Heat in the conference finals including 21 in Game 7.ÌâåÊThose stats followed a season in which the Pacers averaged 14.5 turnovers a game.ÌâåÊDespite their improvements in so many other categories this season the Pacers are turning the ball over even more frequently at an average of 15.8 times a game. They will be especially vulnerable against the Heat who force more turnovers than any other team in the league.         The Pacers strength in the lane should challenge the Heat who have been struggling to defend inside. In recent losses to Chicago and Detroit the Heat allowed a combined 104 points in the paint. If the PacersåÛåª offense which thrives on the extra pass to the post can overcome its tendency for turnovers it will be able to exploit MiamiåÛåªs weakness inside.         MiamiåÛåªs roster is largely unchanged from last year.ÌâåÊWhile the Heat offense and Pacer defense will make for compelling basketball on one end of the court the difference on Tuesday night could be the other side where the Pacers may have a slim advantage.         ÌâåÊ        
80,1E+14,0,Article,Letter,Candor About the Dead,Opinion,221,5.1,5.627, åÛåÏ I wrote the memoir with as much honesty as I could bear to set down. Although my husband Mel was a wonderful person he had weaknesses as all of us do. To ignore these would have been to paint a picture of a saint. He would have never wanted that.         Ironically I ended up being harder on myself revealing my fear and anger about the fact that I was losing him which led to my saying things I would give anything to be able to erase. To my surprise I found that readers felt validated by learning that their åÛåÏshamefulåÛå feelings were shared.         What needs to be saved for a later memoir is the guilt that can pervade you when youåÛåªve had a success built on the death of someone you loved. The only comfort is my belief that the memoir has given him åÛåÓ and our love åÛåÓ longer life.         ANNE HOSANSKY  
79,1E+14,0,Article,Letter,Minimum Wage Studies,Opinion,297,6.034,5.507, Arindrajit DubeåÛåªs recent article in the åÛåÏGreat DivideåÛå series (åÛåÏ In particular Mr. Dube dismisses a large body of research that finds disemployment effects from the minimum wage. He bases his conclusions largely on his own work without noting that we and other researchers strongly contest his research methodology and conclusions. We find negative employment effects from minimum wages using a variety of methods including ones that address his contention that different employment trajectories between high- and low-minimum-wage states skew the evidence toward finding disemployment effects.         Further Mr. Dube cites only his own research in asserting that a higher minimum wage in the United States reduces poverty. He makes no mention of contradictory research by Richard V. Burkhauser Joseph J. Sabia and us which finds that minimum wage increases have not had a measurable effect on poverty.         The debate on these issues is still playing out and future research will help sort out the answers.         Mr. Dube also argues incorrectly in our view that the minimum wage should be higher simply because it is lower in real terms than it used to be. The United States has adopted the earned-income tax credit as an alternative policy to increase incomes of low-wage workers a policy that better targets those benefits to low-income families.         DAVID NEUMARK 
10,1E+14,0,Article,News,Lessons From the Exxon Valdez Oil Spill,Booming,782,5.244,5.379, As oil disasters go the 1989 Exxon Valdez grounding and the 2010 Deepwater Horizon blowout were about as different as two spills could be.         One wasnåÛåªt even technically a spill. When the Deepwater Horizon exploded and sank in the Gulf of Mexico it uncorked a gusher a mile down at the seabed. This subsea torrent of oil turned out to be far greater than the amount of crude that leaked from the damaged Exxon Valdez onto the surface of Prince William Sound åÛåÒ about 200 million gallons compared with 11 million åÛåÒ and it posed a different set of problems for BP and government officials.         In cleaning up an oil spill a main goal is to separate the oil from the water åÛåÒ like skimming the fat off a bowl of gravy. In the gulf disaster it didnåÛåªt help that cleanup technologies like booms and skimmers had changed little over two decades. But the fact that the oil spewed into the deep gulf waters and spread out over a wide area before it reached the surface made containing and collecting the oil even harder.         As a result the government allowed BP to try something new: injecting chemical dispersants into the plume of oil at the seabed. Ordinarily dispersants help break surface oil into tiny droplets that sink into the water column where they can be degraded by bacteria. That was the goal in Prince William Sound. In the gulf the hope was that the chemicals would keep the oil from reaching the surface.         It is unclear how effective the technique was and subsequent studies have suggested that the large amount of dispersants åÛåÓ close to two million gallons in all far more than in any other spill åÛåÓ might have left their own detrimental environmental effects.         For BP the cleanup was only half the battle. The Exxon Valdez carried a huge but finite amount of oil while the gulf well could have continued gushing for months or years if it wasnåÛåªt stopped. That is where BP the rest of the industry and the government were really unprepared. They had no experience in trying to control a deepwater blowout. The well was only 5000 feet away but because no human could reach it it might as well have been on Mars.         Technology had failed BPåÛåªs engineers. The subsea blowout preventer åÛåÓ the enormous array of pipes and valves that sat atop the well at the seabed åÛåÓ had not done its job during the initial emergency and in the first few days of the disaster all the remotely operated submersibles in the world could not get it to shut the gusher down.         That left the engineers and well-control specialists to attempt jury-rigged solutions. For months none of these efforts åÛåÓ with nicknames like åÛåÏjunk shotåÛå åÛåÏtop killåÛå and åÛåÏtop hatåÛå åÛåÓ worked. What eventually did tame the well was a large åÛåÏcapping stackåÛå that fit snugly atop the blowout preventer. To the engineersåÛåª credit they had thought of this early on. When I met with some of them at BP in Houston two weeks into the disaster the idea of such a device was mentioned but it took two months to design and build it.         After that experience most of the major companies that drill in the gulf including BP formed an independent company to come up with equipment and procedures for dealing with future spills. The company Marine Well Containment has built an all-purpose capping stack and other equipment and more work is planned. The idea is to have the equipment ready along with people trained to use it should another deep-sea blowout occur.         Then again the next disaster may be completely different just as the Deepwater Horizon disaster was from the Exxon Valdez.         
18,1E+14,0,Article,An Analysis,Week 14 N.F.L. Quick Hits: Reviewing a Call of Pass Interference,Sports,1842,5.31,5.511, Bill Belichick made headlines in the days leading up to this game when he said that the N.F.L. should make all plays subject to challenge. After the PatriotsåÛåª highly improbable comeback Sunday Browns Coach Rob Chudzinski would probably concur.         Tom BradyåÛåªs game-winning touchdown pass to Danny Amendola was set up by a  The idea that judgment calls canåÛåªt be reviewed was instituted back when replay itself was first instituted. At the time the league had reason to worry that replays would make for bad television viewing and cast an unfriendly spotlight on officials.         As it turned out HD television came around and brought to life all the details you could want in instant replay. Though the whole review process takes too long fans for the most part enjoy the debate and scrutiny of it. ThatåÛåªs why for example the former head of league officials Mike Pereira has found a second career working as a replay analyst for Fox.         And as for the unfriendly spotlight on officials that the league was probably worried about well itåÛåªs here regardless. In fact as this write-up (and countless others) prove that spotlight can be harsher when plays arenåÛåªt reviewable. Maybe not every play should be reviewable as Belichick proposes but officials should have the opportunity to correct their mistakes on pass interference.          If youåÛåªre inclined to fill out a Pro Bowl ballot make sure you check the box for Dolphins tight end Charles Clay. The third-year pro has been the only true source of versatility for MiamiåÛåªs offense. His 97 yards and 2 touchdowns receiving were the difference in the win at snowy Pittsburgh just as his 91 yards and touchdown were the difference in MiamiåÛåªs win over San Diego four weeks ago. Clay has over 80 yards in three of his last four outings and if he accelerates his pace just a bit these final three weeks he could push for a 1000-yard season.          Not to be a Scrooge but hereåÛåªs one voice wishing the N.F.L. had postponed or at least delayed the Eagles-Lions Winter Wonderland affair on Sunday. Yes it was sort of fun watching both teams pummel each other in the snow. But it wasnåÛåªt football. The field could barely be seen let alone navigated with any semblance of grace or agility. And not that it should matter from the N.F.L.'s standpoint but these happened to be two teams built exactly the opposite of how youåÛåªd build a team for playing in the snow. The Eagles and the Lions have finesse offenses and defenses that hinge on linemen being able to fire off the ball. None of those factors were in play Sunday; few actual football factors were.          The talk was about whether the Packers should just shut down Aaron Rodgers for the season. But with DetroitåÛåªs loss and Green BayåÛåªs win if Rodgers returns in Week 15 (big if) heåÛåªll be doing so for a team thatåÛåªs just a half-game out of first place in the N.F.C. North. It almost wasnåÛåªt that way as the three-win Falcons gave the Packers a good fight. The Falcons had a chance to attempt a go-ahead field goal but on fourth-and-5 tight end Tony Gonzalez for one of the few times in his Hall of Fame career failed to make a contested catch. Give credit to Packers backup utility defensive back Jarrett Bush who had blanket coverage. Bush also had the game-sealing interception on Matt RyanåÛåªs desperation heave a few minutes later.          And  
97,1E+14,1,Article,Obituary (Obit),"Doris Lessing, Author Who Swept Aside Convention, Is Dead at 94",Books,655,5.693,5.626, Her death was confirmed by her publisher HarperCollins.         Ms. Lessing produced dozens of novels short stories essays and poems drawing on a childhood in the Central African bush the teachings of Eastern mystics and involvement with grass-roots Communist groups. She embarked on dizzying and at times stultifying literary experiments.         But it was her breakthrough novel åÛåÏThe Golden NotebookåÛå a structurally inventive and loosely autobiographical tale that remained her best-known work. The 1962 book was daring in its day for its frank exploration of the inner lives of women who unencumbered by marriage were free to raise children or not and pursue work and their sex lives as they chose. The book dealt openly with topics like menstruation and orgasm as well as with the mechanics of emotional breakdown.         Her editor at HarperCollins Nicholas Pearson said on Sunday that åÛåÏThe Golden NotebookåÛå had been a handbook for a whole generation.         As a writer from colonial Africa to modern London Ms. Lessing scrutinized relationships between men and women social inequities and racial divisions. As a woman she pursued her own interests and desires professional political and sexual. Seeking what she considered a free life she abandoned two young children. Still Salon in an interview with Ms. Lessing in 1997 said that åÛåÏwith her center-parted hair thatåÛåªs pulled back into a bun and her steely eyes she seems like a tightly wound earth mother.åÛå         It was this figure 10 years later who arrived at her house in sensible shoes to find journalists gathered at her door waiting to tell her that she had won  The Nobel announcement called her åÛåÏthe epicist of the female experience who with skepticism fire and visionary power has subjected a divided civilization to scrutiny.åÛå         And in the presentation speech at the Nobel ceremonies in Stockholm Ms. Lessing was described as having åÛåÏpersonified the womanåÛåªs role in the 20th century.åÛå (She accepted the prize at a ceremony in London.)         The cavalier and curmudgeonly Ms. Lessing was making headlines again a few days after the announcement dismissing the Sept. 11 2001 attacks in the United States as åÛåÏnot that terribleåÛå compared to the toll from decades of Irish Republican Army violence.          åÛåÏThe Golden NotebookåÛå which critics generally consider her best novel has been published in many languages and 50 years after it first appeared it is still in print. It consists of a conventional novel åÛåÏFree WomenåÛå and several notebooks each in a different color kept by the protagonist Anna Wulf a novelist struggling with writeråÛåªs block.         The black notebook deals with Africa and the novel Anna wrote from her experiences there; the red notebook chronicles her Communist Party days; the yellow is an autobiographical novel within the larger novel; the blue is a diary of sorts. The golden notebook at the end brings together ideas and thoughts from the other sections.         Ms. Lessing wrote that she had intended the novel to capture the chaotic period after the Soviet Union officially renounced Stalinism. Under the pressure of the revelations about StalinåÛåªs crimes the movement that had been the glue of her social and intellectual circle came undone.         She considered the novel to be a triumph of structure. By fragmenting the story she said she wanted to show the danger of compartmentalizing oneåÛåªs thinking the idea that åÛåÏany kind of single-mindedness narrowness obsession was bound to lead to mental disorder if not madness.åÛå         But her book was seen as a feminist work a response that irritated her. Even though her novels and stories were filled with the issues at the core of the feminist movement Ms. Lessing had sharp words for feminists.         Speaking at the 92nd Street Y in Manhattan in 1970 during the Vietnam War she told her audience åÛåÏIåÛåªve got the feeling that the sex war is not the most important war going on nor is it the most vital problem in our lives.åÛå In 1994 she was no less critical. åÛåÏThings have changed for white middle-class womenåÛå she said åÛåÏbut nothing has changed outside this group.åÛå        
89,1E+14,1,Article,News,‰Û÷60 Minutes‰Ûª Airs Apology on Benghazi,Business Day,519,5.558,5.164, Ms. Logan said that Dylan Davies one of the main sources for a two-week-old piece about the attack on the American diplomatic mission in Benghazi Libya had misled the programåÛåªs staff when he gave an account of rushing to the compound the night the attack took place. åÛåÏIt was a mistake to include him in our report. For that we are very sorryåÛå Ms. Logan said.         The apology lasted only 90 seconds and revealed nothing new about why  While veteran television journalists spent the weekend debating whether the now-discredited Benghazi report would cause long-term damage to the esteemed newsmagazineåÛåªs brand some media critics joined the liberal advocacy group Media Matters for America in calling for CBS to initiate an independent investigation of missteps in the reporting process.         But the CBS News chairman Jeff Fager who is also the executive producer of åÛåÏ60 MinutesåÛå has not ordered an investigation and on Sunday a spokesman indicated that the program was going to let its televised apology be its last word on the issue.         However the apology was  åÛåÏAside from the fact that it struck a very passive tone and pushed the responsibility onto the source Dylan Davies it said nothing about how the show failed to properly vet the story of an admitted liaråÛå Mr. Silverman said in an email. åÛåÏThere are basic questions left unanswered about how the program checked out what Davies told them and where this process failed.åÛå         åÛåÏIn the short term this will confirm the worst suspicions of people who donåÛåªt trust CBS NewsåÛå said Paul Friedman CBSåÛåªs executive vice president for news until 2011. åÛåÏIn the long term a lot will depend on how tough and transparent CBS can be in finding out how this happened åÛåÓ especially when there were not the kind of tight deadline pressures that sometimes result in errors.åÛå         Ms. Logan has said that a year of reporting informed the Oct. 27 piece which was Mr. DaviesåÛåªs first interview. Some of Ms. LoganåÛåªs conclusions still hold up to scrutiny åÛåÓ for example that åÛåÏcontrary to the White HouseåÛåªs public statements which were still being made a full week later itåÛåªs now well established that the Americans were attacked by Al Qaeda in a well-planned assault.åÛå         But enough doubts have been sown about Mr. DaviesåÛåª account of being an eyewitness that CBS apologized on Friday scrubbed the report from its site (and the åÛåÏ60 MinutesåÛå Twitter feed) and prepared Ms. LoganåÛåªs on-camera statement Sunday. (Mr. DaviesåÛåªs account included him hitting an Al Qaeda fighter in the face with the butt of a rifle and seeing the dead ambassador J. Christopher Stevens at a hospital.)         Parallels have been drawn between this case and CBSåÛåªs  This time conservatives initially trumpeted the åÛåÏ60 MinutesåÛå report: the morning after it was broadcast Senator Lindsey Graham Republican of South Carolina said on Fox News that he planned to block all administration nominations until Congress was granted access to all of the survivors of the attack. (On Sunday Mr. Graham stood by his threat despite CBSåÛåªs retraction.) At the same time questions about Mr. Davies and his account were immediately raised by both liberal activists and independent reporters.        
