combo,correlation
"('post_length', 'avg_word_length')","(0.11843223785096786, 8.9463671481054879e-79)"
"('post_length', 'google_rank')","(0.034408410025298618, 5.2748861860012434e-08)"
"('post_length', 'twitter_rank')","(nan, 1.0)"
"('post_length', 'nyt_rank')","(0.066307588367602907, 9.0907231684178556e-26)"
"('post_length', 'lyrics_rank')","(nan, 1.0)"
"('post_length', 'FK_GradeLevel')","(-0.14310908367512368, 1.6621178089221169e-114)"
"('post_length', 'lexical_density')","(0.10479850297042677, 5.424185642428079e-62)"
"('post_length', 'num_sentence')","(0.82047687196556496, 0.0)"
"('post_length', 'words_per_sentence')","(0.11135138875102138, 8.4844050188107535e-70)"
"('avg_word_length', 'google_rank')","(0.31175511150823387, 0.0)"
"('avg_word_length', 'twitter_rank')","(nan, 1.0)"
"('avg_word_length', 'nyt_rank')","(0.4028957027950909, 0.0)"
"('avg_word_length', 'lyrics_rank')","(nan, 1.0)"
"('avg_word_length', 'FK_GradeLevel')","(-0.023770144824732681, 0.00017077595723157056)"
"('avg_word_length', 'lexical_density')","(0.81801997140652227, 0.0)"
"('avg_word_length', 'num_sentence')","(-0.0083037116127272839, 0.18922033031975838)"
"('avg_word_length', 'words_per_sentence')","(0.14240929959290691, 2.1375507366413411e-113)"
"('google_rank', 'twitter_rank')","(nan, 1.0)"
"('google_rank', 'nyt_rank')","(0.6459301356378303, 0.0)"
"('google_rank', 'lyrics_rank')","(nan, 1.0)"
"('google_rank', 'FK_GradeLevel')","(-0.028466594369338658, 6.7427663292249112e-06)"
"('google_rank', 'lexical_density')","(0.31309362697288834, 0.0)"
"('google_rank', 'num_sentence')","(0.0015167372506637799, 0.81048114920919201)"
"('google_rank', 'words_per_sentence')","(0.018922741868727548, 0.002770959279352443)"
"('twitter_rank', 'nyt_rank')","(nan, 1.0)"
"('twitter_rank', 'lyrics_rank')","(nan, 1.0)"
"('twitter_rank', 'FK_GradeLevel')","(nan, 1.0)"
"('twitter_rank', 'lexical_density')","(nan, 1.0)"
"('twitter_rank', 'num_sentence')","(nan, 1.0)"
"('twitter_rank', 'words_per_sentence')","(nan, 1.0)"
"('nyt_rank', 'lyrics_rank')","(nan, 1.0)"
"('nyt_rank', 'FK_GradeLevel')","(-0.035660885761264631, 1.7005712370470232e-08)"
"('nyt_rank', 'lexical_density')","(0.39426352183926111, 0.0)"
"('nyt_rank', 'num_sentence')","(0.018956507192032068, 0.0027228745842987493)"
"('nyt_rank', 'words_per_sentence')","(0.034111805113134254, 6.8580744440192708e-08)"
"('lyrics_rank', 'FK_GradeLevel')","(nan, 1.0)"
"('lyrics_rank', 'lexical_density')","(nan, 1.0)"
"('lyrics_rank', 'num_sentence')","(nan, 1.0)"
"('lyrics_rank', 'words_per_sentence')","(nan, 1.0)"
"('FK_GradeLevel', 'lexical_density')","(-0.031788545362226375, 4.9761688600285795e-07)"
"('FK_GradeLevel', 'num_sentence')","(-0.12107951695790978, 2.8197440205798794e-82)"
"('FK_GradeLevel', 'words_per_sentence')","(0.66964397834881428, 0.0)"
"('lexical_density', 'num_sentence')","(0.027178408635226439, 1.7245292699278055e-05)"
"('lexical_density', 'words_per_sentence')","(0.0093861230456472669, 0.13779967743392926)"
"('num_sentence', 'words_per_sentence')","(-0.2341014451017244, 2.4218361037164465e-308)"
