pairname,pairs,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,2009-06-24,total
0,0.0-0.0,0.0000,0.0178,0.0267,0.0089,0.0089,0.0089,0.0089,0.0000,0.0178,0.0000,0.0267,0.0178,0.0089,0.0089,0.0089,0.0000,0.0000,0.0000,0.0089,0.0000,0.1778
1,0.0-1.0,0.0133,0.0167,0.0267,0.0233,0.0333,0.0233,0.0267,0.0233,0.0367,0.0300,0.0233,0.0333,0.0367,0.0100,0.0200,0.0167,0.0133,0.0133,0.0067,0.0000,0.4267
2,0.0-2.0,0.0105,0.0175,0.0246,0.0456,0.0246,0.0175,0.0175,0.0211,0.0246,0.0035,0.0316,0.0491,0.0140,0.0281,0.0316,0.0175,0.0105,0.0035,0.0105,0.0035,0.4070
3,0.0-3.0,0.0000,0.0167,0.0333,0.0056,0.0222,0.0111,0.0111,0.0056,0.0111,0.0111,0.0167,0.0056,0.0000,0.0000,0.0000,0.0056,0.0000,0.0056,0.0111,0.0111,0.1833
4,0.0-4.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0111,0.0000,0.0111,0.0000,0.0000,0.0000,0.0000,0.0111,0.0111,0.0111,0.0000,0.0000,0.0000,0.0000,0.0556
5,0.0-5.0,0.0000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0667,0.1000,0.0667,0.1000,0.0667,0.0667,0.0667,0.0333,0.0667,0.0333,0.0333,0.0000,0.0000,0.0000,0.8000
6,0.0-6.0,0.0000,0.0222,0.0222,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0444,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0889
7,0.0-7.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,1.0-0.0,0.0133,0.0167,0.0267,0.0233,0.0333,0.0233,0.0267,0.0233,0.0367,0.0300,0.0233,0.0333,0.0367,0.0100,0.0200,0.0167,0.0133,0.0133,0.0067,0.0000,0.4267
9,1.0-1.0,0.0000,0.0350,0.0150,0.0300,0.0050,0.0150,0.0150,0.0100,0.0300,0.0150,0.0450,0.0350,0.0250,0.0200,0.0150,0.0200,0.0300,0.0200,0.0100,0.0200,0.4100
10,1.0-2.0,0.0184,0.0447,0.0395,0.0526,0.0263,0.0263,0.0395,0.0316,0.0237,0.0395,0.0211,0.0474,0.0263,0.0395,0.0395,0.0500,0.0342,0.0263,0.0079,0.0105,0.6447
11,1.0-3.0,0.0000,0.0333,0.0208,0.0417,0.0417,0.0375,0.0500,0.0125,0.0500,0.0250,0.0458,0.0333,0.0500,0.0292,0.0250,0.0208,0.0125,0.0208,0.0167,0.0167,0.5833
12,1.0-4.0,0.0167,0.0167,0.0250,0.0333,0.0167,0.0250,0.0167,0.0250,0.0250,0.0333,0.0167,0.0083,0.0000,0.0000,0.0000,0.0000,0.0083,0.0000,0.0000,0.0000,0.2667
13,1.0-5.0,0.0000,0.0250,0.0250,0.0250,0.0250,0.0250,0.0250,0.0250,0.0250,0.0500,0.0750,0.0750,0.1000,0.0500,0.0500,0.0500,0.0750,0.0500,0.0000,0.0000,0.7750
14,1.0-6.0,0.0000,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2167
15,1.0-7.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500
16,2.0-0.0,0.0105,0.0175,0.0246,0.0456,0.0246,0.0175,0.0175,0.0211,0.0246,0.0035,0.0316,0.0491,0.0140,0.0281,0.0316,0.0175,0.0105,0.0035,0.0105,0.0035,0.4070
17,2.0-1.0,0.0184,0.0447,0.0395,0.0526,0.0263,0.0263,0.0395,0.0316,0.0237,0.0395,0.0211,0.0474,0.0263,0.0395,0.0395,0.0500,0.0342,0.0263,0.0079,0.0105,0.6447
18,2.0-2.0,0.0222,0.0443,0.0443,0.0499,0.0277,0.0055,0.0222,0.0332,0.0388,0.0720,0.0609,0.0554,0.0388,0.0332,0.0222,0.0111,0.0111,0.0055,0.0111,0.0111,0.6205
19,2.0-3.0,0.0044,0.0263,0.0702,0.0395,0.0482,0.0307,0.0439,0.0219,0.0439,0.0614,0.0658,0.0526,0.0570,0.0395,0.0219,0.0219,0.0219,0.0307,0.0219,0.0219,0.7456
20,2.0-4.0,0.0263,0.0439,0.0614,0.0702,0.0526,0.0526,0.0526,0.0614,0.0526,0.0439,0.0702,0.0526,0.0526,0.0439,0.0351,0.0439,0.0439,0.0351,0.0263,0.0263,0.9474
21,2.0-5.0,0.0000,0.0000,0.0526,0.0789,0.0000,0.0000,0.0526,0.0526,0.0526,0.1053,0.0789,0.0526,0.0263,0.0526,0.0526,0.0526,0.0000,0.0526,0.0526,0.0000,0.8158
22,2.0-6.0,0.0000,0.0702,0.0351,0.0702,0.0351,0.0351,0.0702,0.0351,0.0351,0.0526,0.0175,0.0526,0.0351,0.0000,0.0000,0.0000,0.0000,0.0351,0.0175,0.0175,0.6140
23,2.0-7.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1053,0.0000,0.0000,0.0000,0.0000,0.1053,0.0000,0.0526,0.0000,0.2632
24,3.0-0.0,0.0000,0.0167,0.0333,0.0056,0.0222,0.0111,0.0111,0.0056,0.0111,0.0111,0.0167,0.0056,0.0000,0.0000,0.0000,0.0056,0.0000,0.0056,0.0111,0.0111,0.1833
25,3.0-1.0,0.0000,0.0333,0.0208,0.0417,0.0417,0.0375,0.0500,0.0125,0.0500,0.0250,0.0458,0.0333,0.0500,0.0292,0.0250,0.0208,0.0125,0.0208,0.0167,0.0167,0.5833
26,3.0-2.0,0.0044,0.0263,0.0702,0.0395,0.0482,0.0307,0.0439,0.0219,0.0439,0.0614,0.0658,0.0526,0.0570,0.0395,0.0219,0.0219,0.0219,0.0307,0.0219,0.0219,0.7456
27,3.0-3.0,0.0000,0.0139,0.0278,0.0000,0.0833,0.0278,0.0556,0.0139,0.0139,0.0417,0.0278,0.0278,0.0278,0.0139,0.0278,0.0417,0.0139,0.0000,0.0139,0.0139,0.4861
28,3.0-4.0,0.0000,0.0417,0.0278,0.0417,0.0139,0.0694,0.0417,0.0278,0.0139,0.0694,0.0556,0.0000,0.0278,0.0139,0.0139,0.0139,0.0139,0.0417,0.0417,0.0139,0.5833
29,3.0-5.0,0.0000,0.2083,0.2917,0.1667,0.0833,0.0833,0.1667,0.1250,0.1667,0.1667,0.0417,0.0417,0.0417,0.0833,0.0833,0.0833,0.1250,0.1667,0.0000,0.0000,2.1250
30,3.0-6.0,0.0000,0.0556,0.0556,0.0000,0.0000,0.0000,0.0556,0.0000,0.0278,0.0833,0.0000,0.0278,0.0833,0.0278,0.0278,0.0000,0.0278,0.0000,0.0000,0.0000,0.4722
31,3.0-7.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0833
32,4.0-0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0111,0.0000,0.0111,0.0000,0.0000,0.0000,0.0000,0.0111,0.0111,0.0111,0.0000,0.0000,0.0000,0.0000,0.0556
33,4.0-1.0,0.0167,0.0167,0.0250,0.0333,0.0167,0.0250,0.0167,0.0250,0.0250,0.0333,0.0167,0.0083,0.0000,0.0000,0.0000,0.0000,0.0083,0.0000,0.0000,0.0000,0.2667
34,4.0-2.0,0.0263,0.0439,0.0614,0.0702,0.0526,0.0526,0.0526,0.0614,0.0526,0.0439,0.0702,0.0526,0.0526,0.0439,0.0351,0.0439,0.0439,0.0351,0.0263,0.0263,0.9474
35,4.0-3.0,0.0000,0.0417,0.0278,0.0417,0.0139,0.0694,0.0417,0.0278,0.0139,0.0694,0.0556,0.0000,0.0278,0.0139,0.0139,0.0139,0.0139,0.0417,0.0417,0.0139,0.5833
