pairname,pairs,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,2009-06-24,total
0,0.0-0.0,0.0978,0.3289,0.4267,0.4622,0.3111,0.2044,0.2222,0.0711,0.2400,0.3289,0.2844,0.2756,0.3289,0.1333,0.2400,0.3200,0.2400,0.1244,0.0622,0.0178,4.7200
1,0.0-1.0,0.1000,0.3767,0.3700,0.4433,0.2367,0.2167,0.2300,0.1100,0.2933,0.3067,0.3900,0.3967,0.6133,0.3533,0.4133,0.5067,0.5200,0.3133,0.1233,0.0400,6.3533
2,0.0-2.0,0.0912,0.4877,0.4561,0.5439,0.3930,0.3088,0.3053,0.0807,0.3579,0.3895,0.4140,0.3193,0.5123,0.3193,0.4246,0.4912,0.4281,0.2737,0.0947,0.0456,6.7368
3,0.0-3.0,0.1833,0.4500,0.5944,0.5889,0.4833,0.3500,0.4500,0.1444,0.4833,0.4056,0.5056,0.4000,0.5667,0.2833,0.4667,0.4944,0.3556,0.3000,0.1500,0.0389,7.6944
4,0.0-4.0,0.0778,0.3889,0.4333,0.5222,0.2222,0.2333,0.2667,0.0889,0.2667,0.3333,0.3222,0.2889,0.3889,0.4222,0.5000,0.5667,0.4556,0.3111,0.1444,0.1000,6.3333
5,0.0-5.0,0.1333,0.6333,0.6667,0.8000,0.3667,0.3333,0.3333,0.1667,0.2333,0.1333,0.2000,0.3000,0.4333,0.4333,0.5667,0.7333,0.7000,0.5000,0.1000,0.0667,7.8333
6,0.0-6.0,0.2222,0.3556,0.3778,0.5111,0.2889,0.1333,0.1111,0.0444,0.2222,0.3556,0.5333,0.5111,0.7333,0.4667,0.4444,0.6444,0.4889,0.4000,0.1778,0.0222,7.0444
7,0.0-7.0,0.1333,0.1333,0.4000,0.8000,0.6000,0.1333,0.5333,0.0667,0.8667,0.6000,0.3333,0.6000,0.5333,0.4000,0.2667,0.5333,0.5333,0.5333,0.4000,0.2667,8.6667
8,1.0-0.0,0.1000,0.3767,0.3700,0.4433,0.2367,0.2167,0.2300,0.1100,0.2933,0.3067,0.3900,0.3967,0.6133,0.3533,0.4133,0.5067,0.5200,0.3133,0.1233,0.0400,6.3533
9,1.0-1.0,0.0550,0.4350,0.3200,0.3400,0.1600,0.2150,0.2150,0.0950,0.3450,0.3100,0.5050,0.6100,0.9450,0.5450,0.6200,0.6950,0.7800,0.6200,0.1350,0.0550,8.0000
