,source,target,total_freq,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,2009-06-24
0,1,37,18,0,2,2,2,2,2,2,4,4,4,13,13,13,13,13,18,18,18,18,18
1,1,61,1233,15,197,459,593,610,694,804,849,906,942,997,1101,1121,1152,1176,1200,1222,1233,1233,1233
2,2,25,134,3,3,3,4,7,13,21,43,49,71,80,89,100,134,134,134,134,134,134,134
3,2,29,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,2,34,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
5,2,57,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6,2,67,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
7,4,7,1749,0,147,436,682,858,924,984,1035,1155,1227,1323,1396,1434,1487,1530,1590,1636,1686,1714,1749
8,4,9,127,0,17,37,37,40,49,54,57,60,64,67,73,84,88,91,103,113,125,126,127
9,4,16,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
10,4,21,22,0,1,1,3,3,3,3,3,4,4,5,11,11,11,11,12,15,18,18,22
11,4,24,14,0,0,0,0,0,1,3,3,9,9,13,14,14,14,14,14,14,14,14,14
12,4,27,6,0,0,0,0,0,0,0,1,1,2,2,4,4,4,4,4,4,5,5,6
13,4,31,6,0,0,0,1,1,1,1,1,1,1,1,1,1,4,4,5,5,6,6,6
14,4,44,32,0,0,26,29,29,29,29,29,29,29,30,31,31,31,31,32,32,32,32,32
15,4,58,9,0,0,0,0,0,0,1,1,4,5,7,9,9,9,9,9,9,9,9,9
16,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
