pairname,pairs,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,2009-06-24,total
0,TYPEa-TYPEa,0.0000,0.0267,0.0089,0.0089,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0178,0.0089,0.0000,0.0089,0.0089,0.0000,0.0000,0.0000,0.0000,0.0889
1,TYPEa-TYPEb,0.0070,0.0140,0.0211,0.0351,0.0211,0.0211,0.0351,0.0175,0.0105,0.0351,0.0211,0.0281,0.0175,0.0070,0.0140,0.0175,0.0000,0.0070,0.0070,0.0000,0.3368
2,TYPEa-TYPEc,0.0267,0.0267,0.0533,0.0267,0.0267,0.0000,0.0133,0.0133,0.0133,0.0000,0.0133,0.0133,0.0533,0.0133,0.0133,0.0133,0.0133,0.0133,0.0000,0.0133,0.3600
3,TYPEa-TYPEd,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,TYPEa-TYPEe,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,TYPEa-TYPEf,0.0000,0.0208,0.0042,0.0250,0.0125,0.0083,0.0083,0.0167,0.0208,0.0167,0.0083,0.0333,0.0292,0.0167,0.0292,0.0208,0.0125,0.0125,0.0000,0.0000,0.2958
6,TYPEa-TYPEg,0.0000,0.0267,0.0267,0.0267,0.0267,0.0133,0.0267,0.0267,0.0267,0.0400,0.0000,0.0533,0.0133,0.0000,0.0000,0.0000,0.0000,0.0933,0.0133,0.0133,0.4267
7,TYPEa-TYPEh,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0267,0.0000,0.0400,0.0267,0.0000,0.0133,0.0133,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1200
8,TYPEa-TYPEi,0.0000,0.1000,0.1000,0.1333,0.0667,0.1000,0.0667,0.1000,0.0667,0.0333,0.1333,0.1000,0.1000,0.0333,0.0333,0.0333,0.0333,0.0000,0.0333,0.0333,1.3000
9,TYPEa-TYPEj,0.0000,0.0333,0.0167,0.0500,0.0667,0.0500,0.0333,0.0500,0.1000,0.0000,0.0500,0.0500,0.0000,0.0333,0.0333,0.0500,0.0167,0.0167,0.0333,0.0167,0.7000
10,TYPEa-TYPEk,0.0000,0.0333,0.0333,0.0083,0.0333,0.0000,0.0583,0.0000,0.0333,0.0083,0.0083,0.0167,0.0250,0.0083,0.0083,0.0083,0.0083,0.0083,0.0000,0.0000,0.3000
11,TYPEb-TYPEa,0.0070,0.0140,0.0211,0.0351,0.0211,0.0211,0.0351,0.0175,0.0105,0.0351,0.0211,0.0281,0.0175,0.0070,0.0140,0.0175,0.0000,0.0070,0.0070,0.0000,0.3368
12,TYPEb-TYPEb,0.0222,0.0277,0.0277,0.0111,0.0277,0.0222,0.0222,0.0332,0.0332,0.0609,0.0332,0.0222,0.0111,0.0166,0.0166,0.0222,0.0166,0.0166,0.0055,0.0055,0.4543
13,TYPEb-TYPEc,0.0000,0.0526,0.1053,0.0211,0.0211,0.0316,0.0526,0.0211,0.0421,0.0526,0.0211,0.0316,0.0000,0.0000,0.0000,0.0105,0.0526,0.0316,0.0000,0.0000,0.5474
14,TYPEb-TYPEd,0.0000,0.0000,0.0132,0.0132,0.0000,0.0263,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0526
15,TYPEb-TYPEe,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,TYPEb-TYPEf,0.0000,0.0164,0.0164,0.0033,0.0099,0.0033,0.0164,0.0132,0.0099,0.0230,0.0197,0.0197,0.0164,0.0132,0.0099,0.0132,0.0099,0.0066,0.0000,0.0000,0.2204
17,TYPEb-TYPEg,0.0105,0.0737,0.0842,0.0947,0.0632,0.0632,0.0421,0.0421,0.0526,0.0211,0.0947,0.0737,0.0211,0.0421,0.0316,0.0316,0.0211,0.0211,0.0421,0.0211,0.9474
18,TYPEb-TYPEh,0.0105,0.0105,0.0105,0.0526,0.0105,0.0211,0.0105,0.0000,0.0526,0.0526,0.0316,0.0737,0.0211,0.0105,0.0000,0.0105,0.0211,0.0105,0.0105,0.0000,0.4211
19,TYPEb-TYPEi,0.0000,0.0000,0.0000,0.0263,0.0263,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0263,0.0000,0.0000,0.0000,0.0000,0.0789
20,TYPEb-TYPEj,0.0263,0.0132,0.0132,0.0921,0.0132,0.0132,0.0658,0.0395,0.0000,0.0000,0.0263,0.0132,0.0000,0.0263,0.0526,0.0000,0.0132,0.0132,0.0263,0.0263,0.4737
21,TYPEb-TYPEk,0.0132,0.0263,0.0395,0.0263,0.0592,0.0197,0.0526,0.0066,0.0066,0.0329,0.0592,0.0197,0.0526,0.0197,0.0132,0.0263,0.0132,0.0197,0.0066,0.0066,0.5197
22,TYPEc-TYPEa,0.0267,0.0267,0.0533,0.0267,0.0267,0.0000,0.0133,0.0133,0.0133,0.0000,0.0133,0.0133,0.0533,0.0133,0.0133,0.0133,0.0133,0.0133,0.0000,0.0133,0.3600
23,TYPEc-TYPEb,0.0000,0.0526,0.1053,0.0211,0.0211,0.0316,0.0526,0.0211,0.0421,0.0526,0.0211,0.0316,0.0000,0.0000,0.0000,0.0105,0.0526,0.0316,0.0000,0.0000,0.5474
24,TYPEc-TYPEc,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1600,0.0000,0.0800,0.0000,0.1600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4000
