pairname,pairs,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,2009-06-24,total
0,TYPEa-TYPEa,0.0800,0.5067,0.6044,0.5778,0.3111,0.3111,0.3022,0.0800,0.3289,0.1511,0.1689,0.1778,0.2311,0.1867,0.1689,0.1867,0.2756,0.0889,0.0533,0.0622,4.8533
1,TYPEa-TYPEb,0.0456,0.4035,0.3684,0.3860,0.2421,0.2561,0.2842,0.0877,0.3053,0.2596,0.2877,0.2246,0.3895,0.2105,0.3404,0.3158,0.3193,0.1965,0.0842,0.0561,5.0632
2,TYPEa-TYPEc,0.0400,0.3867,0.5333,0.5067,0.4400,0.3467,0.2800,0.2133,0.3200,0.2533,0.3067,0.3467,0.4800,0.3333,0.4133,0.4800,0.5200,0.2400,0.2400,0.1867,6.8667
3,TYPEa-TYPEd,0.0167,0.5167,0.5667,0.7667,0.2667,0.4167,0.3500,0.1000,0.4167,0.2333,0.4167,0.3667,0.5167,0.4000,0.4500,0.5333,0.5000,0.2167,0.0000,0.0500,7.1000
4,TYPEa-TYPEe,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,TYPEa-TYPEf,0.1167,0.5167,0.4375,0.5583,0.3333,0.3667,0.3750,0.0750,0.3625,0.2542,0.2750,0.2917,0.4792,0.3417,0.4375,0.4083,0.4708,0.2500,0.0625,0.0458,6.4583
6,TYPEa-TYPEg,0.1333,0.7600,0.6133,0.6267,0.3067,0.2800,0.2800,0.1467,0.5867,0.3333,0.4800,0.5867,0.6000,0.5200,0.5733,0.7333,0.6533,0.4667,0.2000,0.0667,8.9467
7,TYPEa-TYPEh,0.0267,0.2400,0.2267,0.3067,0.1467,0.0800,0.1333,0.0400,0.3867,0.1867,0.3600,0.2933,0.4133,0.1333,0.2000,0.3200,0.3733,0.2400,0.0933,0.0933,4.2933
8,TYPEa-TYPEi,0.0667,0.6333,0.3333,0.5667,0.2000,0.0667,0.0667,0.0333,0.0333,0.1667,0.2000,0.1667,0.1000,0.1000,0.3333,0.5667,0.3000,0.1667,0.0667,0.0667,4.2333
9,TYPEa-TYPEj,0.0667,0.5167,0.7833,0.8333,0.7667,0.5500,0.6333,0.2000,0.7500,0.4333,0.3500,0.4333,0.7500,0.4500,0.6167,0.6500,0.5667,0.3833,0.2833,0.1667,10.1833
10,TYPEa-TYPEk,0.2333,0.7667,0.7583,0.7333,0.4500,0.4333,0.5167,0.2167,0.5083,0.3000,0.4417,0.3667,0.6833,0.3083,0.3250,0.3500,0.4083,0.2083,0.0750,0.0500,8.1333
11,TYPEb-TYPEa,0.0456,0.4035,0.3684,0.3860,0.2421,0.2561,0.2842,0.0877,0.3053,0.2596,0.2877,0.2246,0.3895,0.2105,0.3404,0.3158,0.3193,0.1965,0.0842,0.0561,5.0632
12,TYPEb-TYPEb,0.0222,0.2659,0.2161,0.2161,0.1108,0.1662,0.1828,0.0665,0.2438,0.3380,0.2992,0.2105,0.3546,0.2604,0.3712,0.3767,0.3380,0.2770,0.0554,0.0609,4.4321
