pairname,pairs,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,2009-06-24,total
0,TYPEa-TYPEa,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,TYPEa-TYPEb,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,1.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000
2,TYPEa-TYPEc,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,TYPEa-TYPEd,0.0000,0.1000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4000
4,TYPEa-TYPEe,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,TYPEa-TYPEf,0.0000,0.0625,0.0625,0.1250,0.0625,0.0625,0.0625,0.0000,0.0625,0.0000,0.1250,0.0938,0.0000,0.1250,0.1250,0.0625,0.0312,0.0625,0.0625,0.0312,1.2188
6,TYPEa-TYPEg,0.0909,0.0000,0.0909,0.0000,0.0000,0.1818,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3636
7,TYPEb-TYPEa,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,1.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000
8,TYPEb-TYPEb,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,TYPEb-TYPEc,0.0000,0.0000,0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1667
10,TYPEb-TYPEd,0.0000,0.2000,0.2000,0.0000,0.0000,0.0000,0.2000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.1000,0.1000,0.1000,0.0000,0.0000,1.2000
11,TYPEb-TYPEe,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,TYPEb-TYPEf,0.0000,0.0000,0.0938,0.0625,0.0625,0.1250,0.0625,0.0625,0.0000,0.0625,0.1875,0.0000,0.1250,0.0625,0.0625,0.0625,0.0938,0.0625,0.0938,0.0938,1.3750
13,TYPEb-TYPEg,0.0000,0.2727,0.1818,0.1818,0.1818,0.1818,0.3636,0.1818,0.1818,0.1818,0.0000,0.0000,0.1818,0.0000,0.0000,0.0909,0.0000,0.0000,0.0000,0.0000,2.1818
14,TYPEc-TYPEa,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,TYPEc-TYPEb,0.0000,0.0000,0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1667
16,TYPEc-TYPEc,0.0000,0.1111,0.0556,0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,0.0556,0.1111,0.0556,0.0556,0.0556,0.0000,0.0000,1.6111
17,TYPEc-TYPEd,0.0000,0.0333,0.0333,0.0500,0.0333,0.0000,0.0333,0.0333,0.0500,0.0167,0.0333,0.0167,0.0167,0.0333,0.0167,0.0333,0.0000,0.0000,0.0000,0.0000,0.4333
18,TYPEc-TYPEe,0.0139,0.0278,0.0556,0.0556,0.0278,0.0139,0.0833,0.0417,0.0417,0.0278,0.0556,0.0694,0.0556,0.0417,0.0556,0.0139,0.0278,0.0000,0.0139,0.0000,0.7222
19,TYPEc-TYPEf,0.0000,0.0521,0.0365,0.0469,0.0104,0.0260,0.0156,0.0052,0.0260,0.0156,0.0365,0.0417,0.0312,0.0000,0.0156,0.0365,0.0469,0.0208,0.0052,0.0052,0.4740
20,TYPEc-TYPEg,0.0152,0.0152,0.0000,0.0000,0.0000,0.0000,0.0152,0.0152,0.0000,0.0152,0.0000,0.0000,0.0000,0.0303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0152,0.1212
21,TYPEd-TYPEa,0.0000,0.1000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4000
22,TYPEd-TYPEb,0.0000,0.2000,0.2000,0.0000,0.0000,0.0000,0.2000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.1000,0.1000,0.1000,0.0000,0.0000,1.2000
23,TYPEd-TYPEc,0.0000,0.0333,0.0333,0.0500,0.0333,0.0000,0.0333,0.0333,0.0500,0.0167,0.0333,0.0167,0.0167,0.0333,0.0167,0.0333,0.0000,0.0000,0.0000,0.0000,0.4333
24,TYPEd-TYPEd,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,TYPEd-TYPEe,0.0083,0.0333,0.0500,0.0250,0.0083,0.0000,0.0167,0.0083,0.0000,0.0000,0.0000,0.0250,0.0333,0.0000,0.0000,0.0000,0.0083,0.0000,0.0000,0.0000,0.2167
26,TYPEd-TYPEf,0.0000,0.0187,0.0469,0.0469,0.0344,0.0312,0.0312,0.0187,0.0281,0.0312,0.0312,0.0312,0.0250,0.0187,0.0187,0.0125,0.0031,0.0250,0.0156,0.0219,0.4906
27,TYPEd-TYPEg,0.0273,0.0545,0.0455,0.0455,0.0455,0.0364,0.0636,0.0545,0.0727,0.0818,0.0364,0.0455,0.0273,0.0182,0.0364,0.0455,0.0182,0.0182,0.0182,0.0182,0.8091
28,TYPEe-TYPEa,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,TYPEe-TYPEb,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30,TYPEe-TYPEc,0.0139,0.0278,0.0556,0.0556,0.0278,0.0139,0.0833,0.0417,0.0417,0.0278,0.0556,0.0694,0.0556,0.0417,0.0556,0.0139,0.0278,0.0000,0.0139,0.0000,0.7222
31,TYPEe-TYPEd,0.0083,0.0333,0.0500,0.0250,0.0083,0.0000,0.0167,0.0083,0.0000,0.0000,0.0000,0.0250,0.0333,0.0000,0.0000,0.0000,0.0083,0.0000,0.0000,0.0000,0.2167
32,TYPEe-TYPEe,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0278,0.0000,0.0139,0.0278,0.0278,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0972
33,TYPEe-TYPEf,0.0104,0.0286,0.0573,0.0286,0.0339,0.0104,0.0234,0.0208,0.0208,0.0312,0.0260,0.0286,0.0469,0.0286,0.0234,0.0182,0.0156,0.0156,0.0052,0.0052,0.4792
34,TYPEe-TYPEg,0.0000,0.0303,0.0303,0.0152,0.0379,0.0152,0.0152,0.0076,0.0227,0.0227,0.0152,0.0227,0.0530,0.0227,0.0455,0.0227,0.0152,0.0000,0.0076,0.0000,0.4015
35,TYPEf-TYPEa,0.0000,0.0625,0.0625,0.1250,0.0625,0.0625,0.0625,0.0000,0.0625,0.0000,0.1250,0.0938,0.0000,0.1250,0.1250,0.0625,0.0312,0.0625,0.0625,0.0312,1.2188
36,TYPEf-TYPEb,0.0000,0.0000,0.0938,0.0625,0.0625,0.1250,0.0625,0.0625,0.0000,0.0625,0.1875,0.0000,0.1250,0.0625,0.0625,0.0625,0.0938,0.0625,0.0938,0.0938,1.3750
37,TYPEf-TYPEc,0.0000,0.0521,0.0365,0.0469,0.0104,0.0260,0.0156,0.0052,0.0260,0.0156,0.0365,0.0417,0.0312,0.0000,0.0156,0.0365,0.0469,0.0208,0.0052,0.0052,0.4740
38,TYPEf-TYPEd,0.0000,0.0187,0.0469,0.0469,0.0344,0.0312,0.0312,0.0187,0.0281,0.0312,0.0312,0.0312,0.0250,0.0187,0.0187,0.0125,0.0031,0.0250,0.0156,0.0219,0.4906
39,TYPEf-TYPEe,0.0104,0.0286,0.0573,0.0286,0.0339,0.0104,0.0234,0.0208,0.0208,0.0312,0.0260,0.0286,0.0469,0.0286,0.0234,0.0182,0.0156,0.0156,0.0052,0.0052,0.4792
40,TYPEf-TYPEf,0.0156,0.0391,0.0273,0.0469,0.0352,0.0332,0.0430,0.0312,0.0391,0.0430,0.0508,0.0547,0.0176,0.0254,0.0254,0.0234,0.0254,0.0254,0.0273,0.0137,0.6426
41,TYPEf-TYPEg,0.0114,0.0341,0.0256,0.0455,0.0256,0.0256,0.0369,0.0398,0.0312,0.0341,0.0398,0.0284,0.0170,0.0256,0.0170,0.0227,0.0170,0.0142,0.0057,0.0057,0.5028
