pairname,pairs,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,2009-06-24,total
0,TYPEa-TYPEa,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,TYPEa-TYPEb,0.0000,1.0000,2.0000,1.0000,2.0000,2.0000,2.0000,0.0000,2.0000,2.0000,2.0000,2.0000,2.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,25.0000
2,TYPEa-TYPEc,0.0000,0.3333,0.5000,1.0000,0.8333,0.5000,1.0000,0.0000,0.5000,0.8333,0.6667,0.8333,1.0000,0.6667,0.6667,0.8333,0.6667,0.5000,0.3333,0.3333,12.0000
3,TYPEa-TYPEd,0.2000,0.6000,1.1000,1.3000,1.3000,1.3000,1.0000,0.1000,0.8000,0.8000,0.7000,0.9000,1.3000,1.1000,1.1000,1.2000,0.9000,0.1000,0.6000,0.0000,16.4000
4,TYPEa-TYPEe,0.2500,0.4167,0.7500,1.0000,0.5833,0.4167,0.4167,0.0000,0.5833,0.4167,0.5833,0.4167,0.7500,0.6667,1.0000,1.0833,0.9167,0.4167,0.2500,0.0000,10.9167
5,TYPEa-TYPEf,0.1250,0.4688,0.9062,1.0625,0.8125,0.6562,0.6250,0.0312,0.5625,0.3750,0.6875,0.6562,0.9688,0.9688,0.8750,1.0625,0.9375,0.3750,0.3125,0.1875,12.6562
6,TYPEa-TYPEg,0.0909,0.5455,1.1818,1.1818,1.2727,1.0000,1.0909,0.3636,1.5455,0.7273,0.5455,0.6364,0.9091,0.9091,0.9091,1.3636,1.1818,0.7273,0.5455,0.2727,17.0000
7,TYPEb-TYPEa,0.0000,1.0000,2.0000,1.0000,2.0000,2.0000,2.0000,0.0000,2.0000,2.0000,2.0000,2.0000,2.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,25.0000
8,TYPEb-TYPEb,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,TYPEb-TYPEc,0.5000,0.5000,0.6667,1.0000,0.5000,0.6667,0.6667,0.1667,0.5000,1.0000,1.0000,1.0000,0.8333,0.3333,0.3333,0.1667,0.3333,0.3333,0.0000,0.0000,10.5000
