,source,target,total_freq,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,2009-06-24,2009-07-08
0,1,2,8892,0,15,47,333,335,339,339,339,393,449,621,1185,2489,3713,5274,7130,8362,8892,8892,8892,8892
1,1,4,627,0,0,0,0,0,0,0,0,0,0,0,0,57,250,386,524,600,609,627,627,627
2,1,5,21,0,7,7,9,9,9,9,9,9,9,9,9,9,9,11,15,17,21,21,21,21
3,1,6,8,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,8,8,8
4,1,7,176,0,0,0,0,0,0,0,0,0,0,0,0,6,38,96,96,176,176,176,176,176
5,1,8,60,0,4,4,4,4,4,4,4,4,6,6,10,12,12,12,36,60,60,60,60,60
6,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
7,1,11,3668,0,0,7,7,7,7,7,7,37,57,184,184,686,1433,2270,2866,3246,3453,3656,3668,3668
8,1,14,2984,0,31,41,119,119,119,119,119,131,137,276,276,772,774,1718,1876,2360,2984,2984,2984,2984
9,1,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8
10,1,16,160,0,0,0,22,22,24,24,24,24,24,136,138,152,160,160,160,160,160,160,160,160
11,1,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2
12,1,19,8,0,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8
13,1,20,1213,0,8,10,12,12,12,12,12,12,22,24,86,310,667,869,1049,1115,1185,1212,1213,1213
14,1,21,519,0,0,6,28,28,28,28,28,28,50,50,58,108,130,180,218,268,519,519,519,519
15,1,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
16,1,23,16,0,0,0,0,0,0,0,0,0,0,0,2,2,12,14,14,14,14,16,16,16
17,1,24,7337,0,11,29,33,37,41,41,41,72,198,479,769,2012,3902,4877,5691,6599,7036,7337,7337,7337
18,1,25,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
19,1,27,59,0,22,24,24,24,24,24,24,24,24,24,24,24,32,44,52,54,59,59,59,59
20,1,28,13,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
21,1,29,7,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7
22,1,30,653,0,1,5,5,5,5,5,5,5,42,56,56,56,220,308,506,554,633,653,653,653
23,1,31,2302,0,0,0,0,0,0,0,0,0,0,0,2,8,494,904,1052,1978,1988,2292,2302,2302
24,1,32,9,0,7,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9
25,1,33,63,0,0,0,0,0,0,0,0,0,0,0,0,4,18,48,52,62,63,63,63,63
26,1,34,59,0,15,15,15,15,15,15,15,15,15,15,15,15,45,59,59,59,59,59,59,59
27,1,36,380,0,5,5,5,5,5,5,5,7,9,9,19,41,103,177,231,377,380,380,380,380
28,1,37,29,0,8,8,8,8,8,8,8,8,8,8,8,8,8,20,20,20,29,29,29,29
29,1,38,3,0,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
30,1,40,10,0,0,0,0,0,0,0,0,0,2,2,2,2,2,4,8,10,10,10,10,10
31,1,42,316,0,11,15,17,17,17,17,17,17,17,17,19,23,143,217,265,279,295,315,316,316
32,1,43,57,0,0,0,0,0,0,0,0,0,0,0,2,2,2,22,24,26,27,57,57,57
33,1,44,302,0,0,2,2,2,2,2,2,2,14,24,36,83,229,271,285,297,302,302,302,302
