pairs,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,2009-06-24,2009-07-08
1-10,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1
1-13,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1
1-14,,,,,,,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3
1-16,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1
1-17,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3
1-19,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1
1-21,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1
1-23,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1
1-28,,,,,,,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1
1-3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1
