"","id","pairs","2008-09-09","2008-10-19","2008-12-13","2009-03-05","2009-04-17","2009-05-18"
"1",1,"47-2","CloseFriend",NA,NA,NA,NA,NA
"2",2,"57-2","CloseFriend",NA,NA,NA,NA,NA
"3",3,"73-2","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"4",4,"55-2","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"5",5,"47-2","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"6",6,"51-2","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"7",7,"52-2","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"8",8,"40-2","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"9",9,"66-2","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"10",10,"67-2","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"11",11,"32-2","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"12",12,"83-2","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"13",13,"25-2","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"14",14,"38-2","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"15",15,"28-2","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"16",16,"57-2","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"17",17,"68-2","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"18",18,"70-2","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"19",19,"23-2","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"20",20,"8-2","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"21",21,"34-2","SocializeTwicePerWeek",NA,NA,NA,NA,NA
"22",22,"73-2","PoliticalDiscussant",NA,NA,NA,NA,NA
"23",23,"55-2","PoliticalDiscussant",NA,NA,NA,NA,NA
"24",24,"47-2","PoliticalDiscussant",NA,NA,NA,NA,NA
"25",25,"51-2","PoliticalDiscussant",NA,NA,NA,NA,NA
"26",26,"83-2","PoliticalDiscussant",NA,NA,NA,NA,NA
"27",27,"25-2","PoliticalDiscussant",NA,NA,NA,NA,NA
"28",28,"10-2","PoliticalDiscussant",NA,NA,NA,NA,NA
"29",29,"57-2","PoliticalDiscussant",NA,NA,NA,NA,NA
"30",30,"8-2","PoliticalDiscussant",NA,NA,NA,NA,NA
"31",31,"55-2","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"32",32,"39-2","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"33",33,"37-2","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"34",34,"63-2","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"35",35,"47-2","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"36",36,"40-2","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"37",37,"50-2","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"38",38,"9-2","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"39",39,"44-2","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"40",40,"64-2","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"41",41,"83-2","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"42",42,"14-2","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"43",43,"25-2","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"44",44,"28-2","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
"45",45,"65-2","FacebookAllTaggedPhotos",NA,NA,NA,NA,NA
