pairname,pairs,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,2009-06-24,total
0,0.0-0.0,0.0088,0.0475,0.0450,0.0338,0.0338,0.0300,0.0350,0.0312,0.0387,0.0362,0.0387,0.0413,0.0387,0.0250,0.0262,0.0262,0.0238,0.0325,0.0213,0.0150,0.6288
1,0.0-0.1,0.0058,0.0346,0.0519,0.0577,0.0481,0.0385,0.0596,0.0327,0.0500,0.0500,0.0577,0.0519,0.0654,0.0423,0.0365,0.0269,0.0288,0.0173,0.0096,0.0096,0.7750
2,0.0-0.2,0.0000,0.0250,0.0437,0.0375,0.0187,0.0187,0.0375,0.0250,0.0500,0.0625,0.0312,0.0312,0.0000,0.0000,0.0063,0.0187,0.0063,0.0063,0.0125,0.0125,0.4437
3,0.0-0.3,0.0083,0.0167,0.0250,0.0167,0.0167,0.0167,0.0167,0.0167,0.0333,0.0583,0.0333,0.0667,0.0333,0.0250,0.0250,0.0167,0.0083,0.0083,0.0167,0.0167,0.4750
4,0.0-0.4,0.0250,0.0000,0.0250,0.0125,0.0250,0.0375,0.0125,0.0000,0.0000,0.0250,0.0125,0.0250,0.0000,0.0000,0.0000,0.0000,0.0125,0.0000,0.0000,0.0000,0.2125
5,0.0-0.5,0.0250,0.0375,0.0750,0.0375,0.0000,0.0000,0.0250,0.0250,0.0250,0.0875,0.0875,0.0375,0.0875,0.0875,0.0750,0.0500,0.0125,0.0500,0.0125,0.0000,0.8375
6,0.0-0.6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,0.0-0.7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,0.0-0.8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0750
9,0.0-0.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.0-1.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
