pairname,pairs,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,2009-06-24,total
0,0.0-0.0,0.1812,0.7100,0.6362,0.5737,0.3613,0.3162,0.3825,0.1600,0.5850,0.5325,0.6750,0.6075,0.9825,0.7025,0.8250,0.9225,0.9437,0.7588,0.2637,0.1288,11.2487
1,0.0-0.1,0.1385,0.4462,0.6500,0.7923,0.4846,0.4154,0.5192,0.0846,0.5615,0.5038,0.5846,0.6000,0.9519,0.7558,0.8827,0.8538,0.7827,0.6173,0.1750,0.1038,10.9038
2,0.0-0.2,0.0813,0.6750,0.5062,0.5813,0.3812,0.3250,0.3187,0.2188,0.6750,0.6188,0.8562,0.8063,0.9500,0.6562,0.9062,1.1125,0.9500,0.9250,0.4875,0.2687,12.3000
3,0.0-0.3,0.1250,0.5500,0.0000,0.4417,0.1417,0.1417,0.2333,0.1000,0.6333,0.6833,0.8083,0.5417,0.7167,0.3417,0.6333,0.6083,0.6000,0.5500,0.1750,0.1333,8.1583
4,0.0-0.4,0.4125,0.9125,0.8000,0.5000,0.1375,0.2500,0.1625,0.1625,0.4250,0.3250,0.8875,0.5875,1.0500,0.6500,0.5875,0.9625,1.1750,0.3000,0.0875,0.0250,10.4000
5,0.0-0.5,0.0875,0.8125,0.5875,0.1875,0.3250,0.3000,0.4250,0.2500,0.5875,0.6375,0.6875,0.5875,0.8750,0.6250,1.0750,1.2000,0.9375,0.6875,0.5125,0.1625,11.5500
6,0.0-0.6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,0.0-0.7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,0.0-0.8,0.0500,0.4750,0.8500,0.7250,0.3500,0.1750,0.1750,0.1750,0.3750,0.3750,0.4000,0.4000,0.6000,0.7250,1.2000,1.2500,1.1500,0.8000,0.5250,0.3250,11.1000
9,0.0-0.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.0-1.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,0.1-0.0,0.1385,0.4462,0.6500,0.7923,0.4846,0.4154,0.5192,0.0846,0.5615,0.5038,0.5846,0.6000,0.9519,0.7558,0.8827,0.8538,0.7827,0.6173,0.1750,0.1038,10.9038
12,0.1-0.1,0.0237,0.2722,0.5680,0.8639,0.5799,0.4615,0.6509,0.0710,0.4852,0.3905,0.4024,0.5089,0.8166,0.7456,0.7692,0.6982,0.5325,0.3905,0.0828,0.0710,9.3846
13,0.1-0.2,0.0577,0.4423,0.5769,0.7115,0.4615,0.3654,0.4231,0.1731,0.7308,0.6538,0.8077,0.7500,0.8654,0.6538,0.8654,0.9231,0.8077,0.7115,0.2692,0.2500,11.5000
14,0.1-0.3,0.1026,0.2564,0.0000,0.5385,0.1795,0.1538,0.3590,0.0256,0.6667,0.5897,0.5385,0.3590,0.5641,0.3846,0.6410,0.5128,0.4615,0.4359,0.1538,0.1795,7.1026
15,0.1-0.4,0.1923,0.6538,0.4231,0.4615,0.1538,0.0769,0.2308,0.0385,0.2308,0.2308,0.8077,0.6154,1.0000,0.5385,0.6538,0.8077,1.0769,0.2692,0.0000,0.0385,8.5000
16,0.1-0.5,0.0769,0.5000,0.6538,0.1923,0.5000,0.3462,0.4615,0.1538,0.5385,0.5000,0.4231,0.5769,0.6923,0.5769,1.0385,0.9231,0.5385,0.4615,0.1923,0.0385,9.3846
17,0.1-0.6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,0.1-0.7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,0.1-0.8,0.1538,0.2308,0.6923,1.1538,0.3077,0.2308,0.1538,0.0000,0.1538,0.3077,0.2308,0.3077,0.4615,0.5385,1.0769,0.9231,0.6154,0.5385,0.1538,0.0769,8.3077
20,0.1-0.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,0.1-1.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
