pairname,pairs,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,2009-06-24,total
0,0.0-0.0,0.0095,0.0428,0.0428,0.0309,0.0357,0.0285,0.0404,0.0262,0.0333,0.0333,0.0333,0.0499,0.0214,0.0285,0.0285,0.0262,0.0190,0.0285,0.0214,0.0095,0.5898
1,0.0-0.1,0.0144,0.0690,0.0718,0.0546,0.0431,0.0316,0.0575,0.0316,0.0517,0.0460,0.0603,0.0546,0.0661,0.0287,0.0287,0.0287,0.0460,0.0287,0.0115,0.0115,0.8362
2,0.0-0.2,0.0115,0.0402,0.0460,0.0345,0.0460,0.0575,0.0345,0.0402,0.0345,0.0345,0.0690,0.0402,0.0402,0.0287,0.0287,0.0230,0.0172,0.0345,0.0230,0.0115,0.6954
3,0.0-0.3,0.0000,0.0230,0.0345,0.0460,0.0345,0.0230,0.0230,0.0000,0.0115,0.0230,0.0460,0.0230,0.0690,0.0460,0.0805,0.0230,0.0000,0.0230,0.0115,0.0115,0.5517
4,0.0-0.4,0.0000,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0000,0.0690,0.0000,0.0345,0.0345,0.0345,0.0345,0.0345,0.0000,0.0000,0.0000,0.0000,0.0000,0.4483
5,0.0-0.5,0.0000,0.0172,0.0086,0.0431,0.0172,0.0172,0.0172,0.0172,0.0345,0.0086,0.0086,0.0172,0.0345,0.0086,0.0172,0.0172,0.0000,0.0086,0.0259,0.0345,0.3534
6,0.0-0.6,0.0086,0.0431,0.0517,0.0690,0.0431,0.0345,0.0345,0.0345,0.0862,0.1552,0.0517,0.0603,0.0603,0.0431,0.0517,0.0259,0.0431,0.0431,0.0086,0.0172,0.9655
7,0.0-0.7,0.0000,0.0172,0.0000,0.0000,0.0345,0.0000,0.0172,0.0345,0.0345,0.0345,0.0517,0.0517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0172,0.2931
8,0.0-0.8,0.0172,0.0000,0.0517,0.0172,0.0345,0.0172,0.0517,0.0000,0.0000,0.0345,0.0862,0.0517,0.0690,0.0000,0.0000,0.0172,0.0000,0.0345,0.0000,0.0000,0.4828
9,0.0-0.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.0-1.0,0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0000,0.0345,0.0000,0.0000,0.0000,0.0000,0.0517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1034
11,0.1-0.0,0.0144,0.0690,0.0718,0.0546,0.0431,0.0316,0.0575,0.0316,0.0517,0.0460,0.0603,0.0546,0.0661,0.0287,0.0287,0.0287,0.0460,0.0287,0.0115,0.0115,0.8362
12,0.1-0.1,0.0139,0.0556,0.0694,0.0694,0.0000,0.0278,0.0556,0.0278,0.0833,0.0556,0.0694,0.0556,0.0278,0.0556,0.0139,0.0000,0.0278,0.0000,0.0000,0.0000,0.7083
13,0.1-0.2,0.0000,0.0000,0.0278,0.0139,0.0278,0.0278,0.0278,0.0278,0.0000,0.0278,0.0556,0.0139,0.0278,0.0139,0.0139,0.0139,0.0139,0.0139,0.0417,0.0139,0.4028
14,0.1-0.3,0.0278,0.0833,0.1389,0.1111,0.0833,0.0000,0.0556,0.0000,0.0000,0.0833,0.0278,0.0556,0.1389,0.1667,0.1389,0.1111,0.1389,0.0556,0.0833,0.0278,1.5278
15,0.1-0.4,0.0000,0.0000,0.0000,0.0833,0.0833,0.0833,0.0833,0.0000,0.0000,0.0000,0.0000,0.0833,0.0833,0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667
16,0.1-0.5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0208,0.0208
17,0.1-0.6,0.0000,0.0625,0.1250,0.0833,0.0208,0.0833,0.1458,0.1250,0.1458,0.1667,0.0625,0.0833,0.0833,0.0625,0.0625,0.0833,0.0833,0.0417,0.0208,0.0208,1.5625
18,0.1-0.7,0.0000,0.0417,0.0833,0.0417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1667
19,0.1-0.8,0.0000,0.0417,0.0417,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0417,0.0417,0.0000,0.0000,0.0000,0.2500
20,0.1-0.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,0.1-1.0,0.0000,0.0000,0.0000,0.0417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0833,0.0000,0.0833,0.0000,0.0000,0.0000,0.0417,0.2500
22,0.2-0.0,0.0115,0.0402,0.0460,0.0345,0.0460,0.0575,0.0345,0.0402,0.0345,0.0345,0.0690,0.0402,0.0402,0.0287,0.0287,0.0230,0.0172,0.0345,0.0230,0.0115,0.6954
23,0.2-0.1,0.0000,0.0000,0.0278,0.0139,0.0278,0.0278,0.0278,0.0278,0.0000,0.0278,0.0556,0.0139,0.0278,0.0139,0.0139,0.0139,0.0139,0.0139,0.0417,0.0139,0.4028
24,0.2-0.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0556,0.0000,0.0000,0.0000,0.0000,0.0556
25,0.2-0.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,0.2-0.4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27,0.2-0.5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0417,0.0000,0.0000,0.0417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0833
28,0.2-0.6,0.0000,0.0000,0.0417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0417
29,0.2-0.7,0.0000,0.0000,0.0000,0.3333,0.0833,0.0833,0.1667,0.1667,0.0000,0.0833,0.1667,0.0833,0.0000,0.0000,0.0833,0.0000,0.0833,0.0000,0.0833,0.0000,1.4167
30,0.2-0.8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
31,0.2-0.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
32,0.2-1.0,0.0000,0.0000,0.0833,0.0833,0.0833,0.0000,0.0000,0.0833,0.0833,0.0833,0.0833,0.1667,0.0000,0.0000,0.0000,0.1667,0.0000,0.0000,0.0000,0.0000,0.9167
33,0.3-0.0,0.0000,0.0230,0.0345,0.0460,0.0345,0.0230,0.0230,0.0000,0.0115,0.0230,0.0460,0.0230,0.0690,0.0460,0.0805,0.0230,0.0000,0.0230,0.0115,0.0115,0.5517
34,0.3-0.1,0.0278,0.0833,0.1389,0.1111,0.0833,0.0000,0.0556,0.0000,0.0000,0.0833,0.0278,0.0556,0.1389,0.1667,0.1389,0.1111,0.1389,0.0556,0.0833,0.0278,1.5278
35,0.3-0.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
36,0.3-0.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
37,0.3-0.4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
38,0.3-0.5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39,0.3-0.6,0.0833,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.2500,0.2500,0.2500,0.2500,0.0833,0.0833,0.0833,0.0833,0.0000,0.0833,0.0000,0.0000,0.0000,1.7500
40,0.3-0.7,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,0.1667,0.0000,0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667
41,0.3-0.8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
42,0.3-0.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
43,0.3-1.0,0.1667,0.1667,0.3333,0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1667,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3333
44,0.4-0.0,0.0000,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0000,0.0690,0.0000,0.0345,0.0345,0.0345,0.0345,0.0345,0.0000,0.0000,0.0000,0.0000,0.0000,0.4483
45,0.4-0.1,0.0000,0.0000,0.0000,0.0833,0.0833,0.0833,0.0833,0.0000,0.0000,0.0000,0.0000,0.0833,0.0833,0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667
46,0.4-0.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
47,0.4-0.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
48,0.4-0.4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
49,0.4-0.5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
50,0.4-0.6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500
51,0.4-0.7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
52,0.4-0.8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
53,0.4-0.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
54,0.4-1.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
55,0.5-0.0,0.0000,0.0172,0.0086,0.0431,0.0172,0.0172,0.0172,0.0172,0.0345,0.0086,0.0086,0.0172,0.0345,0.0086,0.0172,0.0172,0.0000,0.0086,0.0259,0.0345,0.3534
56,0.5-0.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0208,0.0208
57,0.5-0.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0417,0.0000,0.0000,0.0417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0833
58,0.5-0.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
59,0.5-0.4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
60,0.5-0.5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1250
61,0.5-0.6,0.0000,0.0000,0.0000,0.0000,0.0625,0.0000,0.0000,0.0625,0.0000,0.0000,0.0625,0.0625,0.0625,0.0625,0.0625,0.1250,0.0625,0.0625,0.0000,0.0000,0.6875
62,0.5-0.7,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1250,0.0000,0.0000,0.0000,0.1250,0.0000,0.7500
63,0.5-0.8,0.0000,0.0000,0.1250,0.1250,0.0000,0.0000,0.0000,0.0000,0.0000,0.1250,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6250
64,0.5-0.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
65,0.5-1.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.1250,0.1250,0.0000,0.0000,0.0000,0.1250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3750
66,0.6-0.0,0.0086,0.0431,0.0517,0.0690,0.0431,0.0345,0.0345,0.0345,0.0862,0.1552,0.0517,0.0603,0.0603,0.0431,0.0517,0.0259,0.0431,0.0431,0.0086,0.0172,0.9655
67,0.6-0.1,0.0000,0.0625,0.1250,0.0833,0.0208,0.0833,0.1458,0.1250,0.1458,0.1667,0.0625,0.0833,0.0833,0.0625,0.0625,0.0833,0.0833,0.0417,0.0208,0.0208,1.5625
68,0.6-0.2,0.0000,0.0000,0.0417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0417
69,0.6-0.3,0.0833,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.2500,0.2500,0.2500,0.2500,0.0833,0.0833,0.0833,0.0833,0.0000,0.0833,0.0000,0.0000,0.0000,1.7500
70,0.6-0.4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500
71,0.6-0.5,0.0000,0.0000,0.0000,0.0000,0.0625,0.0000,0.0000,0.0625,0.0000,0.0000,0.0625,0.0625,0.0625,0.0625,0.0625,0.1250,0.0625,0.0625,0.0000,0.0000,0.6875
