pairname,pairs,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,2009-06-24,total
0,0.0-0.0,0.1356,0.5636,0.5470,0.5161,0.3306,0.3163,0.3853,0.1046,0.5945,0.4875,0.6492,0.6207,1.0868,0.8300,0.8870,0.9655,1.0583,0.8419,0.2473,0.1617,11.3294
1,0.0-0.1,0.1753,0.6868,0.6034,0.6523,0.4770,0.4224,0.5029,0.1667,0.6523,0.6494,0.7385,0.7126,1.1236,0.7874,0.9483,0.9684,0.9282,0.7845,0.3448,0.1724,12.4971
2,0.0-0.2,0.0805,0.4598,0.6149,0.7011,0.3046,0.3736,0.3678,0.1839,0.6724,0.5862,0.5460,0.5000,0.5345,0.7069,0.8161,0.9253,0.8333,0.5402,0.2586,0.0690,10.0747
3,0.0-0.3,0.0460,0.4598,0.5402,0.7471,0.5402,0.3563,0.4023,0.1034,0.5057,0.3448,0.4598,0.5517,0.7011,0.5632,0.6897,0.6782,0.7126,0.5747,0.2414,0.0690,9.2874
4,0.0-0.4,0.0345,0.1724,0.3793,0.2759,0.4138,0.5517,0.5517,0.2069,0.6897,0.6207,0.7241,0.3793,0.9655,0.5172,0.7931,0.8966,0.6207,0.6207,0.1724,0.0000,9.5862
5,0.0-0.5,0.2328,0.6034,0.6121,0.7069,0.4052,0.2931,0.4483,0.1121,0.7155,0.5431,0.7328,0.7069,1.1897,0.6034,0.8621,0.7241,0.7155,0.6466,0.3534,0.2500,11.4569
6,0.0-0.6,0.1379,0.5862,0.4224,0.4138,0.1379,0.1810,0.2759,0.0948,0.5431,0.4914,0.8103,0.7155,1.1207,0.9914,1.1810,1.1810,1.2586,1.0862,0.1034,0.1810,11.9138
7,0.0-0.7,0.1552,1.0345,0.8793,0.7931,0.3966,0.2586,0.3448,0.2241,0.5862,0.4310,0.8276,0.7759,1.3621,0.8448,0.9310,0.9310,0.8966,0.8276,0.2414,0.0517,12.7931
8,0.0-0.8,0.3966,1.1207,0.8793,0.2069,0.1034,0.1034,0.2414,0.1207,0.3966,0.3793,0.8276,0.3966,0.7586,0.1897,0.4310,1.0000,0.7759,0.1897,0.2414,0.0690,8.8276
9,0.0-0.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.0-1.0,0.1034,0.6207,0.4828,0.6034,0.2414,0.0690,0.0690,0.0862,0.1724,0.2931,0.5000,0.5172,0.3276,0.4138,0.5862,1.0345,0.7414,0.5690,0.2414,0.1724,7.8448
11,0.1-0.0,0.1753,0.6868,0.6034,0.6523,0.4770,0.4224,0.5029,0.1667,0.6523,0.6494,0.7385,0.7126,1.1236,0.7874,0.9483,0.9684,0.9282,0.7845,0.3448,0.1724,12.4971
12,0.1-0.1,0.1528,0.5556,0.5833,0.7083,0.7083,0.5000,0.6528,0.1528,0.5972,0.8056,0.7083,0.6250,1.0000,0.5833,0.8194,0.7778,0.7361,0.5833,0.2639,0.1528,11.6667
13,0.1-0.2,0.0833,0.4444,0.5556,0.8194,0.3611,0.4861,0.5556,0.1667,0.6111,0.8056,0.5972,0.5833,0.5000,0.6111,0.8472,0.8889,0.7222,0.4444,0.2500,0.0833,10.4167
14,0.1-0.3,0.0556,0.5278,0.5278,0.7778,0.6111,0.5000,0.4167,0.0556,0.4444,0.3889,0.3611,0.5000,0.7222,0.4722,0.5833,0.6944,0.5833,0.4444,0.2778,0.1111,9.0556
15,0.1-0.4,0.0000,0.0000,0.5833,0.6667,1.1667,1.3333,1.0833,0.5833,1.1667,1.1667,1.0000,0.5000,0.8333,0.5833,0.7500,1.0000,0.5833,0.5000,0.2500,0.0833,13.8333
16,0.1-0.5,0.2500,0.5208,0.5417,0.7083,0.4375,0.3542,0.4792,0.1458,0.6250,0.6458,0.7708,0.6458,1.1042,0.5833,0.7292,0.6458,0.6250,0.4583,0.3542,0.2083,10.8333
17,0.1-0.6,0.1250,0.5208,0.3958,0.4583,0.2708,0.2292,0.2917,0.1042,0.6458,0.6667,0.8542,0.7083,1.1667,0.8750,1.1667,1.0417,1.0417,0.9375,0.1458,0.2500,11.8958
18,0.1-0.7,0.2500,1.0417,0.9583,0.9167,0.6250,0.5417,0.5833,0.3750,0.5417,0.6250,0.9167,0.7500,1.2083,0.7917,0.8750,0.7917,0.6667,0.5417,0.1667,0.1667,13.3333
19,0.1-0.8,0.4583,1.1250,0.7083,0.1250,0.2917,0.2083,0.3750,0.3333,0.4167,0.5000,0.8333,0.4167,0.7083,0.0000,0.3750,0.7500,0.7500,0.2083,0.2917,0.0000,8.8750
20,0.1-0.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,0.1-1.0,0.1250,0.5000,0.7083,0.7917,0.4167,0.2083,0.1667,0.1250,0.2500,0.4583,0.5833,0.5000,0.3333,0.3750,0.7083,1.0000,0.7917,0.5417,0.2917,0.0833,8.9583
22,0.2-0.0,0.0805,0.4598,0.6149,0.7011,0.3046,0.3736,0.3678,0.1839,0.6724,0.5862,0.5460,0.5000,0.5345,0.7069,0.8161,0.9253,0.8333,0.5402,0.2586,0.0690,10.0747
23,0.2-0.1,0.0833,0.4444,0.5556,0.8194,0.3611,0.4861,0.5556,0.1667,0.6111,0.8056,0.5972,0.5833,0.5000,0.6111,0.8472,0.8889,0.7222,0.4444,0.2500,0.0833,10.4167
24,0.2-0.2,0.0000,0.1111,0.4444,0.7778,0.2222,0.0556,0.2222,0.1667,0.5000,0.4444,0.2778,0.2778,0.1111,0.3889,0.5556,0.6667,0.4444,0.2222,0.1111,0.0000,6.0000
25,0.2-0.3,0.0000,0.3889,0.6111,0.9444,0.4444,0.2222,0.3333,0.1111,0.5556,0.3889,0.2778,0.2222,0.4444,0.5000,0.6667,0.5556,0.6667,0.3889,0.1111,0.1111,7.9444
26,0.2-0.4,0.0000,0.1667,0.3333,0.1667,0.6667,0.3333,0.5000,0.3333,0.3333,0.6667,0.6667,0.1667,0.3333,0.3333,0.5000,0.8333,0.5000,0.3333,0.1667,0.0000,7.3333
27,0.2-0.5,0.0833,0.3750,0.6250,0.9583,0.3750,0.2917,0.4167,0.1250,0.7083,0.5833,0.5000,0.4167,0.6250,0.4167,0.7500,0.5833,0.5417,0.3333,0.2083,0.0000,8.9167
28,0.2-0.6,0.0417,0.4167,0.2917,0.3750,0.0833,0.1250,0.3333,0.1250,0.5833,0.5833,0.5833,0.6667,0.5000,0.8750,1.0417,1.0833,1.0417,0.6667,0.0833,0.0417,9.5417
29,0.2-0.7,0.0000,0.7500,0.6667,1.0833,0.2500,0.5000,0.5000,0.2500,0.5833,0.5833,0.4167,0.3333,0.8333,0.5000,0.9167,0.7500,0.6667,0.5000,0.2500,0.0833,10.4167
30,0.2-0.8,0.2500,1.0000,0.6667,0.3333,0.1667,0.0833,0.5833,0.1667,0.4167,0.2500,0.8333,0.4167,0.2500,0.2500,0.6667,1.0000,0.5833,0.1667,0.2500,0.1667,8.5000
31,0.2-0.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
32,0.2-1.0,0.0000,0.1667,0.4167,0.4167,0.0833,0.0000,0.0000,0.0833,0.0833,0.0833,0.3333,0.1667,0.1667,0.2500,0.5833,1.0833,0.5833,0.4167,0.1667,0.1667,5.2500
33,0.3-0.0,0.0460,0.4598,0.5402,0.7471,0.5402,0.3563,0.4023,0.1034,0.5057,0.3448,0.4598,0.5517,0.7011,0.5632,0.6897,0.6782,0.7126,0.5747,0.2414,0.0690,9.2874
34,0.3-0.1,0.0556,0.5278,0.5278,0.7778,0.6111,0.5000,0.4167,0.0556,0.4444,0.3889,0.3611,0.5000,0.7222,0.4722,0.5833,0.6944,0.5833,0.4444,0.2778,0.1111,9.0556
35,0.3-0.2,0.0000,0.3889,0.6111,0.9444,0.4444,0.2222,0.3333,0.1111,0.5556,0.3889,0.2778,0.2222,0.4444,0.5000,0.6667,0.5556,0.6667,0.3889,0.1111,0.1111,7.9444
36,0.3-0.3,0.0000,0.4444,0.4444,0.4444,0.4444,0.2222,0.2222,0.0000,0.2222,0.0000,0.0000,0.2222,0.2222,0.0000,0.2222,0.2222,0.0000,0.0000,0.0000,0.0000,3.3333
37,0.3-0.4,0.0000,0.0000,0.3333,1.0000,0.3333,0.3333,0.3333,0.0000,1.0000,0.3333,1.0000,0.3333,1.0000,0.3333,0.6667,1.0000,0.3333,0.3333,0.3333,0.0000,9.0000
38,0.3-0.5,0.0833,0.2500,0.5833,0.8333,0.4167,0.0000,0.0833,0.0000,0.4167,0.2500,0.1667,0.4167,0.5833,0.2500,0.4167,0.1667,0.3333,0.4167,0.0833,0.0000,5.7500
39,0.3-0.6,0.0000,0.5000,0.4167,0.5833,0.2500,0.1667,0.3333,0.0000,0.2500,0.1667,0.6667,0.6667,0.5000,0.5000,0.5833,0.7500,0.7500,0.9167,0.1667,0.0833,8.2500
40,0.3-0.7,0.3333,0.6667,0.8333,0.6667,0.5000,0.3333,0.0000,0.0000,0.5000,0.1667,0.5000,0.8333,0.8333,0.5000,0.5000,0.6667,0.5000,0.5000,0.0000,0.0000,8.8333
41,0.3-0.8,0.1667,0.8333,0.3333,0.3333,0.1667,0.1667,0.1667,0.0000,0.0000,0.1667,0.6667,0.6667,0.6667,0.1667,0.3333,1.1667,0.8333,0.0000,0.0000,0.1667,7.0000
42,0.3-0.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
43,0.3-1.0,0.0000,0.3333,0.6667,1.5000,0.3333,0.1667,0.0000,0.0000,0.1667,0.3333,0.3333,0.5000,0.1667,0.3333,0.5000,0.6667,0.5000,0.5000,0.3333,0.3333,7.6667
44,0.4-0.0,0.0345,0.1724,0.3793,0.2759,0.4138,0.5517,0.5517,0.2069,0.6897,0.6207,0.7241,0.3793,0.9655,0.5172,0.7931,0.8966,0.6207,0.6207,0.1724,0.0000,9.5862
45,0.4-0.1,0.0000,0.0000,0.5833,0.6667,1.1667,1.3333,1.0833,0.5833,1.1667,1.1667,1.0000,0.5000,0.8333,0.5833,0.7500,1.0000,0.5833,0.5000,0.2500,0.0833,13.8333
46,0.4-0.2,0.0000,0.1667,0.3333,0.1667,0.6667,0.3333,0.5000,0.3333,0.3333,0.6667,0.6667,0.1667,0.3333,0.3333,0.5000,0.8333,0.5000,0.3333,0.1667,0.0000,7.3333
47,0.4-0.3,0.0000,0.0000,0.3333,1.0000,0.3333,0.3333,0.3333,0.0000,1.0000,0.3333,1.0000,0.3333,1.0000,0.3333,0.6667,1.0000,0.3333,0.3333,0.3333,0.0000,9.0000
48,0.4-0.4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
49,0.4-0.5,0.0000,0.2500,0.0000,0.2500,0.2500,0.2500,0.2500,0.0000,0.5000,0.0000,0.7500,0.5000,1.2500,0.2500,0.7500,0.7500,0.5000,0.2500,0.2500,0.0000,7.0000
50,0.4-0.6,0.0000,0.0000,0.2500,0.5000,0.5000,0.5000,0.2500,0.0000,0.7500,0.7500,1.0000,0.5000,1.7500,0.5000,1.0000,0.7500,0.7500,0.7500,0.0000,0.0000,10.5000
51,0.4-0.7,0.0000,0.5000,0.5000,0.0000,1.0000,0.0000,0.0000,0.0000,0.5000,0.0000,1.0000,0.5000,1.5000,0.5000,0.5000,0.0000,0.5000,0.0000,0.0000,0.0000,7.0000
52,0.4-0.8,0.0000,0.0000,0.5000,0.0000,0.5000,0.5000,1.5000,1.0000,1.0000,1.0000,1.5000,0.5000,1.0000,0.0000,0.5000,0.5000,1.0000,0.0000,0.0000,0.0000,11.0000
53,0.4-0.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
54,0.4-1.0,0.0000,0.0000,0.5000,1.0000,0.5000,0.5000,0.5000,0.0000,0.0000,0.5000,0.5000,0.5000,0.0000,0.5000,0.5000,1.0000,0.5000,0.5000,0.5000,0.0000,8.0000
55,0.5-0.0,0.2328,0.6034,0.6121,0.7069,0.4052,0.2931,0.4483,0.1121,0.7155,0.5431,0.7328,0.7069,1.1897,0.6034,0.8621,0.7241,0.7155,0.6466,0.3534,0.2500,11.4569
56,0.5-0.1,0.2500,0.5208,0.5417,0.7083,0.4375,0.3542,0.4792,0.1458,0.6250,0.6458,0.7708,0.6458,1.1042,0.5833,0.7292,0.6458,0.6250,0.4583,0.3542,0.2083,10.8333
57,0.5-0.2,0.0833,0.3750,0.6250,0.9583,0.3750,0.2917,0.4167,0.1250,0.7083,0.5833,0.5000,0.4167,0.6250,0.4167,0.7500,0.5833,0.5417,0.3333,0.2083,0.0000,8.9167
58,0.5-0.3,0.0833,0.2500,0.5833,0.8333,0.4167,0.0000,0.0833,0.0000,0.4167,0.2500,0.1667,0.4167,0.5833,0.2500,0.4167,0.1667,0.3333,0.4167,0.0833,0.0000,5.7500
59,0.5-0.4,0.0000,0.2500,0.0000,0.2500,0.2500,0.2500,0.2500,0.0000,0.5000,0.0000,0.7500,0.5000,1.2500,0.2500,0.7500,0.7500,0.5000,0.2500,0.2500,0.0000,7.0000
60,0.5-0.5,0.2500,0.2500,0.5000,0.7500,0.3750,0.2500,0.5000,0.1250,0.5000,0.5000,0.3750,0.5000,1.1250,0.3750,0.6250,0.2500,0.3750,0.3750,0.5000,0.3750,8.8750
61,0.5-0.6,0.1250,0.4375,0.3750,0.5625,0.1875,0.1875,0.1875,0.0625,0.3750,0.3125,0.8125,0.6875,1.0000,0.5000,0.9375,0.8125,0.5625,0.6250,0.1875,0.1875,9.1250
62,0.5-0.7,0.2500,1.1250,0.8750,1.3750,0.6250,0.2500,0.5000,0.2500,0.7500,0.6250,0.7500,0.8750,1.7500,0.6250,0.7500,0.7500,0.5000,0.5000,0.6250,0.2500,14.0000
63,0.5-0.8,0.6250,1.0000,0.7500,0.2500,0.0000,0.1250,0.3750,0.0000,0.2500,0.3750,0.7500,0.5000,0.8750,0.1250,0.3750,0.6250,0.5000,0.0000,0.0000,0.0000,7.5000
64,0.5-0.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
65,0.5-1.0,0.1250,0.6250,0.2500,0.5000,0.3750,0.1250,0.0000,0.0000,0.2500,0.2500,0.3750,0.5000,0.2500,0.1250,0.5000,0.8750,0.5000,0.5000,0.2500,0.2500,6.6250
66,0.6-0.0,0.1379,0.5862,0.4224,0.4138,0.1379,0.1810,0.2759,0.0948,0.5431,0.4914,0.8103,0.7155,1.1207,0.9914,1.1810,1.1810,1.2586,1.0862,0.1034,0.1810,11.9138
67,0.6-0.1,0.1250,0.5208,0.3958,0.4583,0.2708,0.2292,0.2917,0.1042,0.6458,0.6667,0.8542,0.7083,1.1667,0.8750,1.1667,1.0417,1.0417,0.9375,0.1458,0.2500,11.8958
68,0.6-0.2,0.0417,0.4167,0.2917,0.3750,0.0833,0.1250,0.3333,0.1250,0.5833,0.5833,0.5833,0.6667,0.5000,0.8750,1.0417,1.0833,1.0417,0.6667,0.0833,0.0417,9.5417
