,user_id,year_school,floor,aerobic_per_week,party,libcon,sad,stressed,fav_music
0,1,TYPEe,f282.2,4.0,TYPEa,TYPEf,,,TYPEf
1,2,TYPEa,f282.4,4.0,TYPEd,TYPEf,0.4,0.2,TYPEd
2,3,TYPEb,f282.4,0.0,TYPEa,TYPEe,,,TYPEa
3,4,TYPEb,f282.1,1.0,TYPEa,TYPEf,0.0,0.0,TYPEg
4,5,TYPEa,f282.3,1.0,TYPEc,TYPEe,0.0,0.0,TYPEa
5,6,TYPEb,f282.3,3.0,TYPEa,TYPEg,0.5,0.8,TYPEk
6,7,TYPEc,f282.1,1.0,TYPEa,TYPEf,0.0,0.0,TYPEf
7,8,TYPEa,f282.4,2.0,TYPEa,TYPEd,0.0,0.0,TYPEa
8,9,TYPEb,f290.4,3.0,TYPEd,TYPEg,0.1,0.0,TYPEk
9,10,TYPEb,f290.4,1.0,TYPEa,TYPEf,,,TYPEb
10,11,TYPEd,f282.1,2.0,TYPEa,TYPEd,0.8,1.0,TYPEi
11,12,TYPEd,,3.0,TYPEc,TYPEe,0.1,0.1,TYPEc
12,13,TYPEd,f282.4,0.0,TYPEc,TYPEe,,,TYPEb
13,14,TYPEb,f282.3,0.0,TYPEc,TYPEd,,,TYPEa
14,15,TYPEe,f290.2,3.0,TYPEd,TYPEd,0.0,0.0,TYPEj
15,16,TYPEc,f282.2,2.0,TYPEa,TYPEf,,,TYPEa
16,17,TYPEa,f282.3,2.0,TYPEc,TYPEc,,,TYPEc
17,18,TYPEc,f290.3,2.0,TYPEa,TYPEf,0.2,0.7,TYPEb
18,19,TYPEd,f290.3,2.0,TYPEa,TYPEf,,,TYPEa
19,20,TYPEb,f282.3,2.0,TYPEa,TYPEf,0.0,0.0,TYPEb
20,21,TYPEb,f282.1,1.0,TYPEb,TYPEc,0.1,0.1,TYPEf
21,22,TYPEd,f290.3,0.0,TYPEb,TYPEa,0.1,0.1,TYPEj
22,23,TYPEb,f282.4,3.0,TYPEc,TYPEe,0.0,0.1,TYPEc
23,24,TYPEd,,1.0,TYPEa,TYPEf,0.1,0.1,TYPEf
24,25,TYPEb,f282.4,2.0,TYPEc,TYPEe,,,TYPEd
25,26,TYPEc,f290.3,0.0,TYPEa,TYPEg,0.2,0.2,TYPEh
26,27,TYPEb,f282.1,2.0,TYPEc,TYPEf,0.0,0.6,TYPEd
27,28,TYPEe,f282.3,0.0,TYPEc,TYPEf,0.4,0.8,TYPEk
28,29,TYPEd,f290.3,1.0,TYPEc,TYPEd,0.0,0.0,TYPEb
29,30,TYPEb,f282.3,4.0,TYPEa,TYPEf,0.0,0.2,TYPEg
30,31,TYPEc,f282.1,2.0,TYPEa,TYPEe,0.5,0.3,TYPEc
31,32,TYPEa,f290.3,0.0,TYPEa,TYPEd,0.0,0.1,TYPEb
32,33,TYPEd,f282.1,0.0,TYPEa,TYPEf,0.1,0.4,TYPEf
33,34,TYPEd,f282.4,1.0,TYPEc,TYPEe,0.0,0.7,TYPEk
34,35,TYPEa,f290.4,3.0,TYPEa,TYPEe,0.0,0.2,TYPEb
35,36,TYPEb,f282.3,3.0,TYPEb,TYPEb,0.0,0.1,TYPEk
36,37,TYPEe,f290.4,4.0,TYPEa,TYPEg,0.0,0.0,TYPEf
37,38,TYPEa,f282.4,1.0,TYPEc,TYPEc,0.3,0.2,TYPEf
38,39,TYPEd,f282.3,1.0,TYPEa,TYPEe,,,TYPEa
39,40,TYPEa,f290.3,0.0,TYPEa,TYPEf,0.1,0.3,TYPEf
40,41,TYPEa,f282.4,0.0,TYPEa,TYPEf,,,TYPEa
41,42,TYPEb,f282.3,5.0,TYPEc,TYPEd,0.0,0.0,TYPEa
42,43,TYPEa,f282.2,2.0,TYPEc,TYPEg,0.0,0.1,TYPEb
43,44,TYPEb,f282.2,2.0,TYPEa,TYPEf,0.0,0.0,TYPEb
44,45,TYPEa,f290.4,6.0,TYPEc,TYPEf,0.1,0.5,TYPEa
45,46,TYPEb,f282.3,1.0,TYPEa,TYPEg,0.0,0.0,TYPEb
46,47,TYPEc,f282.3,3.0,TYPEc,TYPEd,0.1,0.5,TYPEf
47,48,TYPEe,f290.2,1.0,TYPEa,TYPEf,0.1,0.3,TYPEh
48,49,TYPEd,f290.2,0.0,,TYPEf,0.3,0.5,TYPEf
49,50,TYPEe,f290.4,2.0,TYPEc,TYPEf,,,TYPEb
50,51,TYPEe,f282.4,0.0,TYPEc,TYPEd,0.0,0.0,TYPEa
51,52,TYPEa,f282.1,4.0,TYPEa,TYPEd,0.1,0.1,TYPEd
52,53,TYPEc,f282.3,4.0,TYPEd,TYPEf,,,TYPEb
53,54,TYPEa,f290.3,3.0,TYPEc,TYPEe,0.0,0.0,TYPEf
54,55,TYPEe,f282.4,1.0,TYPEc,TYPEc,0.0,0.0,TYPEk
55,56,TYPEd,f290.1,2.0,TYPEa,TYPEg,0.0,0.1,TYPEf
56,57,TYPEa,f282.1,1.0,TYPEa,TYPEf,0.0,0.0,TYPEf
57,58,TYPEd,f282.1,0.0,TYPEa,TYPEf,0.0,0.0,TYPEf
58,59,TYPEa,f282.3,6.0,TYPEc,TYPEe,0.0,0.0,TYPEk
59,60,TYPEb,f290.3,7.0,TYPEb,TYPEc,0.0,0.0,TYPEh
60,61,TYPEe,f282.2,2.0,TYPEa,TYPEf,0.0,0.1,TYPEg
61,62,TYPEa,f290.2,2.0,TYPEa,TYPEf,0.0,0.0,TYPEa
62,63,TYPEc,f282.2,0.0,TYPEb,TYPEc,0.0,0.0,TYPEa
63,64,TYPEa,f282.2,1.0,TYPEa,TYPEg,0.2,0.1,TYPEc
64,65,TYPEb,f290.3,2.0,TYPEa,TYPEf,0.0,1.0,TYPEi
65,66,TYPEa,f282.4,3.0,TYPEa,TYPEg,0.0,0.0,TYPEa
66,67,TYPEd,f290.3,1.0,TYPEa,TYPEg,0.0,0.5,TYPEj
67,68,TYPEa,f290.3,5.0,TYPEa,TYPEg,0.1,0.6,TYPEf
68,69,TYPEb,f290.4,2.0,TYPEa,TYPEf,0.0,0.0,TYPEk
69,70,TYPEa,f282.2,6.0,TYPEa,TYPEf,0.0,0.0,TYPEg
70,71,TYPEb,f282.3,3.0,TYPEa,TYPEf,0.0,0.0,TYPEg
71,72,,,0.0,TYPEa,TYPEf,0.1,0.2,TYPEj
72,73,,,,,,,,TYPEb
73,74,,,,TYPEa,TYPEf,,,TYPEb
74,75,,f290.2,1.0,,,0.0,0.0,TYPEb
75,76,,,3.0,,,0.2,0.6,TYPEb
76,77,,f282.4,2.0,,,0.3,0.6,TYPEh
77,78,,,1.0,,,0.0,0.0,TYPEa
78,79,TYPEa,f282.4,1.0,,,0.0,0.0,TYPEh
79,80,TYPEb,f282.2,1.0,,,0.0,0.0,TYPEf
80,82,,,,,,,,TYPEb
81,83,,,,,,,,TYPEb
82,84,,,,,,,,TYPEb
