pairname,pairs,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,2009-06-24,total
0,TYPEa-TYPEa,0.0091,0.0408,0.0771,0.0635,0.0317,0.0227,0.0363,0.0363,0.0499,0.0726,0.0363,0.1088,0.0816,0.0181,0.0408,0.0091,0.0181,0.0136,0.0045,0.0045,0.7755
1,TYPEa-TYPEb,0.0045,0.0159,0.0204,0.0181,0.0249,0.0181,0.0385,0.0136,0.0159,0.0181,0.0091,0.0023,0.0363,0.0068,0.0045,0.0113,0.0045,0.0023,0.0000,0.0000,0.2653
2,TYPEa-TYPEc,0.0000,0.0060,0.0060,0.0119,0.0119,0.0060,0.0060,0.0119,0.0060,0.0119,0.0119,0.0060,0.0060,0.0060,0.0179,0.0060,0.0119,0.0060,0.0000,0.0000,0.1488
3,TYPEa-TYPEd,0.0034,0.0136,0.0170,0.0068,0.0034,0.0136,0.0102,0.0034,0.0102,0.0136,0.0034,0.0000,0.0000,0.0034,0.0034,0.0000,0.0034,0.0000,0.0000,0.0000,0.1088
4,TYPEa-TYPEe,0.0106,0.0106,0.0000,0.0000,0.0000,0.0000,0.0053,0.0000,0.0000,0.0106,0.0053,0.0053,0.0053,0.0053,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0582
5,TYPEb-TYPEa,0.0045,0.0159,0.0204,0.0181,0.0249,0.0181,0.0385,0.0136,0.0159,0.0181,0.0091,0.0023,0.0363,0.0068,0.0045,0.0113,0.0045,0.0023,0.0000,0.0000,0.2653
6,TYPEb-TYPEb,0.0272,0.1134,0.1406,0.0998,0.0862,0.0952,0.1179,0.0726,0.0862,0.0998,0.1361,0.0862,0.0726,0.0590,0.0680,0.1043,0.0816,0.1088,0.0590,0.0363,1.7506
7,TYPEb-TYPEc,0.0119,0.0476,0.0655,0.0536,0.0298,0.0238,0.0417,0.0536,0.0536,0.0714,0.0595,0.0774,0.0417,0.0476,0.0417,0.0476,0.0298,0.0357,0.0179,0.0119,0.8631
8,TYPEb-TYPEd,0.0000,0.0136,0.0170,0.0340,0.0034,0.0170,0.0204,0.0068,0.0238,0.0272,0.0340,0.0238,0.0102,0.0374,0.0068,0.0068,0.0136,0.0000,0.0000,0.0102,0.3061
9,TYPEb-TYPEe,0.0000,0.0106,0.0000,0.0106,0.0106,0.0053,0.0106,0.0053,0.0053,0.0106,0.0106,0.0106,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0899
