pairname,pairs,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,2009-06-24,total
0,TYPEa-TYPEa,0.0771,0.5125,0.6032,0.7982,0.3991,0.3401,0.3628,0.0998,0.5488,0.5261,0.5306,0.4444,0.6485,0.3946,0.6213,0.7483,0.7574,0.4444,0.0726,0.1224,9.0522
1,TYPEa-TYPEb,0.1247,0.6349,0.5714,0.6281,0.4059,0.4240,0.4263,0.1587,0.5465,0.4898,0.7256,0.5782,0.7143,0.5125,0.7324,0.8299,0.7664,0.5986,0.1451,0.1043,10.1179
2,TYPEa-TYPEc,0.0893,0.3571,0.4464,0.4821,0.3333,0.2976,0.3333,0.0774,0.3690,0.3810,0.5476,0.5714,0.6429,0.4702,0.5357,0.4524,0.4524,0.2440,0.0833,0.0357,7.2024
3,TYPEa-TYPEd,0.1565,0.4286,0.5068,0.6088,0.2823,0.2483,0.2551,0.0816,0.3197,0.3401,0.3571,0.2585,0.5952,0.3878,0.5850,0.6769,0.6224,0.4728,0.1565,0.0714,7.4116
4,TYPEa-TYPEe,0.1534,0.6561,0.5608,0.6561,0.2804,0.2275,0.2698,0.1005,0.4868,0.3333,0.3598,0.3545,0.6508,0.4127,0.4339,0.4444,0.4444,0.3757,0.1376,0.0741,7.4127
5,TYPEb-TYPEa,0.1247,0.6349,0.5714,0.6281,0.4059,0.4240,0.4263,0.1587,0.5465,0.4898,0.7256,0.5782,0.7143,0.5125,0.7324,0.8299,0.7664,0.5986,0.1451,0.1043,10.1179
6,TYPEb-TYPEb,0.1088,0.7982,0.5805,0.5941,0.4898,0.5215,0.5850,0.2630,0.6803,0.5714,0.8254,0.7392,0.6984,0.6440,0.7256,0.8209,0.7664,0.7211,0.2540,0.1361,11.5238
7,TYPEb-TYPEc,0.1131,0.4524,0.4881,0.5119,0.3631,0.4405,0.4048,0.1250,0.3690,0.4167,0.6131,0.7500,0.6548,0.5952,0.5833,0.4881,0.4702,0.3274,0.1667,0.0714,8.4048
8,TYPEb-TYPEd,0.1735,0.5612,0.5510,0.5000,0.3605,0.2857,0.3435,0.1429,0.4048,0.4014,0.4830,0.4082,0.7109,0.5136,0.6871,0.7585,0.6803,0.5884,0.1939,0.0782,8.8265
9,TYPEb-TYPEe,0.1323,0.9153,0.5926,0.5714,0.3122,0.2593,0.3016,0.1429,0.5556,0.3651,0.4074,0.4021,0.6667,0.5291,0.5026,0.5820,0.5291,0.4709,0.2434,0.1111,8.5926
10,TYPEc-TYPEa,0.0893,0.3571,0.4464,0.4821,0.3333,0.2976,0.3333,0.0774,0.3690,0.3810,0.5476,0.5714,0.6429,0.4702,0.5357,0.4524,0.4524,0.2440,0.0833,0.0357,7.2024
11,TYPEc-TYPEb,0.1131,0.4524,0.4881,0.5119,0.3631,0.4405,0.4048,0.1250,0.3690,0.4167,0.6131,0.7500,0.6548,0.5952,0.5833,0.4881,0.4702,0.3274,0.1667,0.0714,8.4048
12,TYPEc-TYPEc,0.0000,0.2188,0.2500,0.3438,0.2188,0.2500,0.2188,0.0312,0.1562,0.2188,0.2812,0.7812,0.5312,0.3125,0.3438,0.2812,0.2812,0.1875,0.0625,0.0312,5.0000
13,TYPEc-TYPEd,0.0893,0.2589,0.4018,0.4107,0.3661,0.2411,0.2768,0.0804,0.2679,0.3125,0.3393,0.4018,0.5893,0.5089,0.5446,0.4464,0.4107,0.2679,0.1786,0.0446,6.4375
14,TYPEc-TYPEe,0.1528,0.4444,0.4028,0.5278,0.2222,0.2222,0.1806,0.0417,0.1944,0.1667,0.3194,0.3889,0.6111,0.4722,0.4444,0.3056,0.2778,0.1806,0.1389,0.0556,5.7500
15,TYPEd-TYPEa,0.1565,0.4286,0.5068,0.6088,0.2823,0.2483,0.2551,0.0816,0.3197,0.3401,0.3571,0.2585,0.5952,0.3878,0.5850,0.6769,0.6224,0.4728,0.1565,0.0714,7.4116
16,TYPEd-TYPEb,0.1735,0.5612,0.5510,0.5000,0.3605,0.2857,0.3435,0.1429,0.4048,0.4014,0.4830,0.4082,0.7109,0.5136,0.6871,0.7585,0.6803,0.5884,0.1939,0.0782,8.8265
17,TYPEd-TYPEc,0.0893,0.2589,0.4018,0.4107,0.3661,0.2411,0.2768,0.0804,0.2679,0.3125,0.3393,0.4018,0.5893,0.5089,0.5446,0.4464,0.4107,0.2679,0.1786,0.0446,6.4375
18,TYPEd-TYPEd,0.1327,0.3163,0.3878,0.4388,0.2653,0.1429,0.2143,0.0612,0.4082,0.2347,0.2143,0.1735,0.6122,0.4082,0.6429,0.5714,0.5612,0.3673,0.2653,0.0714,6.4898
19,TYPEd-TYPEe,0.1905,0.6349,0.5397,0.4524,0.2143,0.1667,0.2222,0.1032,0.4365,0.2302,0.2143,0.2540,0.6429,0.3810,0.4286,0.3651,0.3571,0.3968,0.3016,0.0873,6.6190
20,TYPEe-TYPEa,0.1534,0.6561,0.5608,0.6561,0.2804,0.2275,0.2698,0.1005,0.4868,0.3333,0.3598,0.3545,0.6508,0.4127,0.4339,0.4444,0.4444,0.3757,0.1376,0.0741,7.4127
21,TYPEe-TYPEb,0.1323,0.9153,0.5926,0.5714,0.3122,0.2593,0.3016,0.1429,0.5556,0.3651,0.4074,0.4021,0.6667,0.5291,0.5026,0.5820,0.5291,0.4709,0.2434,0.1111,8.5926
22,TYPEe-TYPEc,0.1528,0.4444,0.4028,0.5278,0.2222,0.2222,0.1806,0.0417,0.1944,0.1667,0.3194,0.3889,0.6111,0.4722,0.4444,0.3056,0.2778,0.1806,0.1389,0.0556,5.7500
23,TYPEe-TYPEd,0.1905,0.6349,0.5397,0.4524,0.2143,0.1667,0.2222,0.1032,0.4365,0.2302,0.2143,0.2540,0.6429,0.3810,0.4286,0.3651,0.3571,0.3968,0.3016,0.0873,6.6190
24,TYPEe-TYPEe,0.1235,0.9136,0.3457,0.5432,0.0988,0.1235,0.2222,0.0988,0.3951,0.1481,0.0988,0.1235,0.4198,0.2469,0.3210,0.2469,0.2222,0.2963,0.0988,0.0741,5.1605
