index,source,target,total_freq,2007-09-05,2007-09-19,2007-10-03,2007-10-17,2007-10-31,2007-11-14,2007-11-28,2007-12-12,2007-12-26,2008-01-09,2008-01-23,2008-02-06,2008-02-20,2008-03-05,2008-03-19,2008-04-02,2008-04-16,2008-04-30,2008-05-14,2008-05-28,2008-06-11,2008-06-25,2008-07-09,2008-07-23,2008-08-06,2008-08-20,2008-09-03,2008-09-17,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,2009-06-24,2009-07-08
0,31,6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,5,5,5,5,8,27,27,27,27,27
1,14,74,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
2,4,36,2876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,172,200,278,286,500,504,652,878,1074,1099,1261,1448,1575,1610,2704,2876,2876,2876,2876
3,8,63,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,68,68,68,68,68,68,68,84,86,86,86,86,91,124,126,126,126,126,126
4,46,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,6,7,8,8,8,8,8
5,29,44,519,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,14,24,84,84,94,94,94,94,96,96,96,98,110,146,291,382,519,519,519,519
6,68,25,5,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7,36,34,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,20,20,20,22,24,26,26,26,38,64,68,68,68,68,68,68,68,68,68
8,2,78,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,3,3,3,3,3,3
9,58,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,6,8,8,8,8,8,8,8
